lexeme	ai1P	ai1S	ai2P	ai2S	ai3P	ai3S	fi1P	fi1S	fi2P	fi2S	fi3P	fi3S	ii1P	ii1S	ii2P	ii2S	ii3P	ii3S	inf	is1P	is1S	is2P	is2S	is3P	is3S	pI1P	pI2P	pI2S	pP	pc1P	pc1S	pc2P	pc2S	pc3P	pc3S	pi1P	pi1S	pi2P	pi2S	pi3P	pi3S	ppFP	ppFS	ppMP	ppMS	ps1P	ps1S	ps2P	ps2S	ps3P	ps3S
abaisser		0.512048192771			1.23493975904	7.95180722892		0.512048192771				0.78313253012					1.23493975904	7.59036144578	12.0481927711							0.0602409638554	1.80722891566	14.2469879518	7.56024096386		0.39156626506		0.39156626506	0.240963855422	0.66265060241		14.2469879518	1.80722891566	0.692771084337	3.01204819277	14.2469879518	0.0301204819277	1.32530120482	1.11445783133	6.29518072289						
abandonner	0.0712758374911	0.64148253742		0.036957841662	0.417095641615	2.51049338719	0.139911829149	0.739156833241	0.036957841662	0.13199229165	0.179509516644	0.61508407909	0.15839074998	0.485731633273	0.0739156833241	0.485731633273	0.427655024947	2.77183812465	14.8016155856						0.0897547583221	0.459333174943	1.74229824978	10.448509807	2.92230933713	0.002639845833	0.31678149996	0.113513370819	0.31678149996	0.0422375333281	0.293022887463	0.459333174943	10.448509807	1.74229824978	1.12721417069	1.34104168317	10.448509807	1.0480187957	4.48773791611	2.23858926639	12.2700034318				1.12721417069	1.34104168317	10.448509807
abasourdir																			4.26136363636																								18.75	7.67045454545	69.3181818182						
abattre		0.263080970476			0.954886485433	5.27136314918	0.10718113612	0.380005846244	0.253337230829	0.0292312189418	0.399493325538	2.06567280522	0.0682061775309	0.282568449771	0.0584624378837		2.35798499464	3.7708272435	28.0132514859							0.32154340836	2.15336646205	2.27029133782	2.21182889993		0.165643574004	0.0194874792946	0.165643574004	0.0974373964728	1.01334892332	0.32154340836	2.27029133782	2.15336646205	2.27029133782	2.64055344441	6.89856767027	0.691805514957	4.50160771704	4.72571372893	18.425411673		1.14976127838		0.10718113612		1.14976127838
abcéder																																																			
abdiquer		1.53172866521				4.37636761488						1.75054704595		3.06345733042			1.53172866521	4.37636761488	10.7221006565								0.656455142232	14.0043763676	1.53172866521		1.53172866521				1.53172866521		14.0043763676	0.656455142232			14.0043763676		1.53172866521		23.1947483589						
abecquer																																																			
aberrer																													100.0																						
abhorrer														4.34782608696				37.5	7.60869565217										4.34782608696								10.8695652174	1.63043478261			10.8695652174		3.80434782609	3.80434782609	15.2173913043						
abjurer																			17.8217821782								7.92079207921	18.0198019802	2.77227722772							1.38613861386	18.0198019802	7.92079207921			18.0198019802				8.11881188119						
ablater																																																			
ablatir																																																			
abloquer																																																			
