lexeme	NAME	GWEIGHT	fi1P	ii1P	ps1P	ps2P	ps2S	ai1P	fi1S	ii2S	inf	is3P	pI1P	pc1S	pi2P	pi2S	ppFS	ppMP	ps3P	fi2S	fi3S	pc3P	pi1S	ii1S	pI2P	pP	pi1P	pi3P	ai2P	ii2P	is1P	is1S	is2P	is2S	is3S	pI2S	pc3S	pi3S	ps3S	ai1S	ai2S	ai3P	ai3S	fi2P	fi3P	ii3P	ii3S	pc1P	pc2P	pc2S	ppFP	ppMS	ps1S
EWEIGHT			1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
abcéder	abcéder	1.000000																																																			
abecquer	abecquer	1.000000																																																			
ablater	ablater	1.000000																																																			
ablatir	ablatir	1.000000																																																			
abloquer	abloquer	1.000000																																																			
abonnir	abonnir	1.000000																																																			
aborner	aborner	1.000000																																																			
absterger	absterger	1.000000																																																			
abécher	abécher	1.000000																																																			
accastiller	accastiller	1.000000																																																			
accorer	accorer	1.000000																																																			
accouardir	accouardir	1.000000																																																			
accouer	accouer	1.000000																																																			
acculturer	acculturer	1.000000																																																			
acenser	acenser	1.000000																																																			
achromatiser	achromatiser	1.000000																																																			
acidifier	acidifier	1.000000																																																			
aciseler	aciseler	1.000000																																																			
aciérer	aciérer	1.000000																																																			
aciériser	aciériser	1.000000																																																			
acétifier	acétifier	1.000000																																																			
adirer	adirer	1.000000																																																			
adjectiver	adjectiver	1.000000																																																			
adsorber	adsorber	1.000000																																																			
affaiter	affaiter	1.000000																																																			
affermer	affermer	1.000000																																																			
afflouer	afflouer	1.000000																																																			
affourcher	affourcher	1.000000																																																			
affourrager	affourrager	1.000000																																																			
affricher	affricher	1.000000																																																			
affriter	affriter	1.000000																																																			
affruiter	affruiter	1.000000																																																			
afféager	afféager	1.000000																																																			
afférer	afférer	1.000000																																																			
agioter	agioter	1.000000																																																			
agriffer	agriffer	1.000000																																																			
aheurter	aheurter	1.000000																																																			
aiguayer	aiguayer	1.000000																																																			
airer	airer	1.000000																																																			
alambiquer	alambiquer	1.000000																																																			
alarguer	alarguer	1.000000																																																			
alcaliser	alcaliser	1.000000																																																			
alester	alester	1.000000																																																			
aleviner	aleviner	1.000000																																																			
alluvionner	alluvionner	1.000000																																																			
allégir	allégir	1.000000																																																			
aluminer	aluminer	1.000000																																																			
aluner	aluner	1.000000																																																			
amariner	amariner	1.000000																																																			
ameublir	ameublir	1.000000																																																			
amodier	amodier	1.000000																																																			
amordancer	amordancer	1.000000																																																			
amuïr	amuïr	1.000000																																																			
anastomoser	anastomoser	1.000000																																																			
anglaiser	anglaiser	1.000000																																																			
anordir	anordir	1.000000																																																			
aoûter	aoûter	1.000000																																																			
apetisser	apetisser	1.000000																																																			
apiquer	apiquer	1.000000																																																			
apostasier	apostasier	1.000000																																																			
appairer	appairer	1.000000																																																			
appointir	appointir	1.000000																																																			
appéter	appéter	1.000000																																																			
arboriser	arboriser	1.000000																																																			
archaïser	archaïser	1.000000																																																			
argoter	argoter	1.000000																																																			
argotiser	argotiser	1.000000																																																			
ariser	ariser	1.000000																																																			
arrenter	arrenter	1.000000																																																			
arriser	arriser	1.000000																																																			
arrérager	arrérager	1.000000																																																			
aspecter	aspecter	1.000000																																																			
assibiler	assibiler	1.000000																																																			
assoler	assoler	1.000000																																																			
assoner	assoner	1.000000																																																			
atermoyer	atermoyer	1.000000																																																			
attraire	attraire	1.000000																																																			
autocopier	autocopier	1.000000																																																			
autodéterminer	autodéterminer	1.000000																																																			
autofinancer	autofinancer	1.000000																																																			
autoguider	autoguider	1.000000																																																			
autotomiser	autotomiser	1.000000																																																			
aveindre	aveindre	1.000000																																																			
avocasser	avocasser	1.000000																																																			
badger	badger	1.000000																																																			
baleiner	baleiner	1.000000																																																			
baliverner	baliverner	1.000000																																																			
ballaster	ballaster	1.000000																																																			
balustrer	balustrer	1.000000																																																			
banqueter	banqueter	1.000000																																																			
baqueter	baqueter	1.000000																																																			
baraquer	baraquer	1.000000																																																			
barbifier	barbifier	1.000000																																																			
baréter	baréter	1.000000																																																			
bastringuer	bastringuer	1.000000																																																			
bateler	bateler	1.000000																																																			
bibeloter	bibeloter	1.000000																																																			
bichoter	bichoter	1.000000																																																			
bienvenir	bienvenir	1.000000																																																			
billonner	billonner	1.000000																																																			
biloquer	biloquer	1.000000																																																			
biscuiter	biscuiter	1.000000																																																			
bisegmenter	bisegmenter	1.000000																																																			
bissecter	bissecter	1.000000																																																			
bistourner	bistourner	1.000000																																																			
bitturer	bitturer	1.000000																																																			
bituminer	bituminer	1.000000																																																			
bléser	bléser	1.000000																																																			
boetter	boetter	1.000000																																																			
bolchéviser	bolchéviser	1.000000																																																			
bondoner	bondoner	1.000000																																																			
bondériser	bondériser	1.000000																																																			
bornoyer	bornoyer	1.000000																																																			
bouliner	bouliner	1.000000																																																			
bourder	bourder	1.000000																																																			
boursicoter	boursicoter	1.000000																																																			
bouturer	bouturer	1.000000																																																			
boîter	boîter	1.000000																																																			
brandiller	brandiller	1.000000																																																			
breller	breller	1.000000																																																			
bretailler	bretailler	1.000000																																																			
bretauder	bretauder	1.000000																																																			
bretter	bretter	1.000000																																																			
briqueter	briqueter	1.000000																																																			
brouir	brouir	1.000000																																																			
brumer	brumer	1.000000																																																			
brésiller	brésiller	1.000000																																																			
budgétiser	budgétiser	1.000000																																																			
buvoter	buvoter	1.000000																																																			
bégueter	bégueter	1.000000																																																			
béqueter	béqueter	1.000000																																																			
bêcheveter	bêcheveter	1.000000																																																			
cabaler	cabaler	1.000000																																																			
cacaber	cacaber	1.000000																																																			
cagnarder	cagnarder	1.000000																																																			
cagner	cagner	1.000000																																																			
cailleter	cailleter	1.000000																																																			
calaminer	calaminer	1.000000																																																			
calorifuger	calorifuger	1.000000																																																			
cameloter	cameloter	1.000000																																																			
caponner	caponner	1.000000																																																			
capéer	capéer	1.000000																																																			
caquer	caquer	1.000000																																																			
carcailler	carcailler	1.000000																																																			
carencer	carencer	1.000000																																																			
carnifier	carnifier	1.000000																																																			
carroyer	carroyer	1.000000																																																			
cartayer	cartayer	1.000000																																																			
caséifier	caséifier	1.000000																																																			
catir	catir	1.000000																																																			
centrifuger	centrifuger	1.000000																																																			
chaloir	chaloir	1.000000																																																			
chamoiser	chamoiser	1.000000																																																			
champlever	champlever	1.000000																																																			
chapeler	chapeler	1.000000																																																			
chaponner	chaponner	1.000000																																																			
chaptaliser	chaptaliser	1.000000																																																			
charroyer	charroyer	1.000000																																																			
chauvir	chauvir	1.000000																																																			
chevreter	chevreter	1.000000																																																			
chevretter	chevretter	1.000000																																																			
chlorurer	chlorurer	1.000000																																																			
chopiner	chopiner	1.000000																																																			
chouriner	chouriner	1.000000																																																			
cinématographier	cinématographier	1.000000																																																			
circulariser	circulariser	1.000000																																																			
clapser	clapser	1.000000																																																			
claqueter	claqueter	1.000000																																								100.000000											
claveter	claveter	1.000000																																																			
clavetter	clavetter	1.000000																																																			
cogérer	cogérer	1.000000																																																			
cohériter	cohériter	1.000000																																																			
cokéfier	cokéfier	1.000000																																																			
colliger	colliger	1.000000																																																			
complanter	complanter	1.000000																																																			
complexifier	complexifier	1.000000																																																			
computer	computer	1.000000																																																			
conglutiner	conglutiner	1.000000																																																			
congréer	congréer	1.000000																																																			
consoner	consoner	1.000000																																																			
consonner	consonner	1.000000																																																			
constitutionnaliser	constitutionnaliser	1.000000																																																			
contagionner	contagionner	1.000000																																																			
conteneuriser	conteneuriser	1.000000																																																			
contracturer	contracturer	1.000000																																																			
contre-passer	contre-passer	1.000000																																																			
contre-tirer	contre-tirer	1.000000																																																			
contrebattre	contrebattre	1.000000																																																			
contrebouter	contrebouter	1.000000																																																			
contrebuter	contrebuter	1.000000																																																			
contremarquer	contremarquer	1.000000																																																			
controuver	controuver	1.000000																																																			
conventionner	conventionner	1.000000																																																			
copartager	copartager	1.000000																																																			
copermuter	copermuter	1.000000																																																			
coposséder	coposséder	1.000000																																																			
coquiller	coquiller	1.000000																																																			
corroyer	corroyer	1.000000																																																			
coupeller	coupeller	1.000000																																																			
courbaturer	courbaturer	1.000000																																																			
courtauder	courtauder	1.000000																																																			
couturer	couturer	1.000000																																																			
coïter	coïter	1.000000																																																			
crapuler	crapuler	1.000000																																																			
créner	créner	1.000000																																																			
créoliser	créoliser	1.000000																																																			
culasser	culasser	1.000000																																																			
cycliser	cycliser	1.000000																																																			
cémenter	cémenter	1.000000																																																			
côcher	côcher	1.000000																																																			
damasquiner	damasquiner	1.000000																																																			
dessabler	dessabler	1.000000																																																			
dessangler	dessangler	1.000000																																																			
dessoler	dessoler	1.000000																																																			
dialectaliser	dialectaliser	1.000000																																																			
dialectiser	dialectiser	1.000000																																																			
dilacérer	dilacérer	1.000000																																																			
dimensionner	dimensionner	1.000000																																																			
diphtonguer	diphtonguer	1.000000																																																			
disputailler	disputailler	1.000000																																																			
dogmatiser	dogmatiser	1.000000																																																			
doler	doler	1.000000																																																			
drageonner	drageonner	1.000000																																																			
dragéifier	dragéifier	1.000000																																																			
drayer	drayer	1.000000																																																			
driller	driller	1.000000																																																			
dumper	dumper	1.000000																																																			
déactiver	déactiver	1.000000																																																			
débalourder	débalourder	1.000000																																																			
débanaliser	débanaliser	1.000000																																																			
débenzoler	débenzoler	1.000000																																																			
