;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;;;;;abEsa;;;;;;;;;;;;abEsE;abEse;;;;;;;;abEse;abEs;;;;;;;;;;abEse;;;abEs;;;;abEse;;abEs;;;;abEs
1;abandonner;;abâdOnE;;;;abâdOna;abâdOn6rô;abâdOn6rE;;;abâdOn6rô;abâdOn6ra;abâdOnjô;abâdOnE;;;abâdOnE;abâdOnE;abâdOne;;;;;;abâdOna;;abâdOne;abâdOn;abâdOnâ;;;;;;;;abâdOn;abâdOne;abâdOn;abâdOn;abâdOn;abâdOne;abâdOne;abâdOne;abâdOne;abâdOnjô;abâdOn;;abâdOn;abâdOn;abâdOn
2;abasourdir;;;;abazurdi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abazurdi;;;;;;
3;abattre;;;;;;abati;;;abatre;;;;;abatE;;;;abatE;abatr;;;;;;;;abate;aba;;;;;;;;;;;aba;;aba;;abaty;abaty;abaty;;;;;abat;
4;abdiquer;;;;;;;;;;;;;;;;;abdikE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;abhorrer;;;;;;;;;;;;;;;;;;;abOre;;;;;;;;;abOr;;;;;;;;;;;;;;;;;;;;;;;
6;abjurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abZyr;;;;;;;;;;abZyr
7;abolir;;;;;;;;;;;;;;;;;;abOlisE;;;;;;;;;;abOli;abOlisâ;;;;;;;;abOli;;;;;;;abOli;abOli;;;;;;
8;abonder;;;;;;;;;;;;;;;;;;abôdE;abôde;;;;;;;;;abôd;;;;;;;;;abôd;;;abôd;;;;;;;;;;abôd;
9;abonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abOnâ;;;;;;;;;;;;;;;;;;;;;;
10;aborder;abOrdam;;;;;abOrda;;;;;;;;;;;abOrdE;abOrdE;abOrde;;;;;;;;;abOrd;;;;;;;;abOrdô;abOrd;abOrde;;;abOrd;;abOrde;;abOrde;;abOrd;;;;abOrd
11;aboucher;;;;;;;;;;;;;;;;abuSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;abouler;;;;;;;;;;;;;;;;;;;;;;;;;;;;abul;;;;;;;;;abul;;;;abul;;;;;;abul;;;;abul
13;aboutir;;abuti;;;;abuti;;;;;abutirô;;;;;;;;abutir;;abutis;;;abutis;;;;;abutisâ;;;;;;;;;;;abutis;abuti;;;;;;abutis;;;abutis;
14;aboyer;;;;;;;;;;;;;;;;;;;abwaje;;;;;;;;;abwa;abwajâ;;;;;;;;abwa;;;abwa;abwa;;;;;;abwa;;abwa;abwa;abwa
15;abreuver;;;;;;;;;;;;;;;;;;;abr6ve;;;;;;;;;abr9v;;;;;;;;;;;;;;;;;;;;;;;
16;abriter;;;;;;;;;;;;;;;;;;abritE;abrite;;;;;;;abritô;abrite;abrit;abritâ;;;;;;;;abrit;abrite;;abrit;abrit;;;abrite;abrite;;abrit;;abrit;abrit;abrit
17;abroger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abrOZe;;;;;;;
18;abrutir;;;;abryti;;abryti;;;;;;;;;;;;;;;;;;abrytis;;;;abryti;abrytisâ;;;;;;;;abryti;;abryti;;;;;abryti;;;;;;;
19;abréger;;;;;;;;;;;;;;;;;;;abrEZe;;;;;;;;;abrEZ;;;;;;;;;abrEZ;;;;;;;;;;;;;;abrEZ
20;absenter;;;;;;;;;;;;;;;;;;absâtE;absâte;;;;;;;;;;;;;;;;;;;;;;absât;;absâte;;;;;;;;absât
21;absorber;;;;;;;;;;;;;;;;;;absOrbE;absOrbe;;;;;;;;;absOrb;;;;;;;;;absOrb;;;;absOrb;;absOrbe;;absOrbe;;absOrb;;;;absOrb
