;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;;;;;abEsa;;;;;;;;;;;abEsE;abEsE;abEse;;;;;;;;abEse;abEs;abEsâ;;abEs6rE;;;;;;abEs;abEse;;abEs;abEs;;;;;;;
1;abandonner;;abâdOnE;;;abâdOnEr;abâdOna;;abâdOn6rE;abâdOn6re;abâdOn6ra;abâdOn6rô;abâdOn6ra;abâdOnjô;abâdOnE;abâdOnje;abâdOnE;abâdOnE;abâdOnE;abâdOne;;;;;;;abâdOnô;abâdOne;abâdOn;abâdOnâ;;abâdOn6rE;abâdOn6rje;abâdOn6rE;;abâdOn6rE;abâdOnô;abâdOn;abâdOne;abâdOn;abâdOn;abâdOn;;;;;abâdOn;abâdOn;abâdOn
2;abasourdir;;;;;;;;;;;;;;;;;;;abazurdir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;abattre;;;;;abatir;abati;;abatrE;;;abatrô;abatra;;;;;abatE;abatE;abatr;;;;;;;;abate;aba;abatâ;;;;;;abatrE;;aba;abate;aba;abat;aba;;;;;;;abat
4;abdiquer;;;;;;;;;;;;abdik6ra;;;;;;;abdike;;;;;;;;;abdik;;;;;;;;;;;;;abdik;;;;;;;
5;abhorrer;;;;;;;;;;;;;;;;;;abOrE;abOre;;;;;;;;;;;;;;;;;;abOr;;;;;;;;;;;
6;abjurer;;;;;;;;;;;;;;;;;;;abZyre;;;;;;;;;abZyr;;;;;;;;;abZyr;;;;abZyr;;;;;;;
7;abolir;;;;;;abOli;;;;;;abOlira;abOlisjô;;;;;;abOlir;;;;;;;;;;abOlisâ;;;;;;;abOlisô;;;;abOlis;abOli;;;;;;;
8;abonder;;;;;;;;;;;;;;;;;abôdE;;abôde;;;;;;;;;;;;;;;;;;;;;abôd;abôd;;;;;;;
9;abonner;;;;;;;;;;;;;;;;;;;abOne;;;;;;;;;;;;;;;;;;;;;;abOn;;;;;;;
10;aborder;;abOrdE;;;;abOrda;;;;;;abOrd6ra;abOrdjô;abOrdE;;;abOrdE;abOrdE;abOrde;;;;;;;abOrdô;abOrde;abOrd;abOrdâ;;;;;;;;abOrd;abOrde;;;abOrd;;;;;;;
11;aboucher;;;;;;;;;;;;;;;;;;;abuSe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;abouler;;;;;;;;;;;;;;;;;;;abule;;;;;;;;abule;abul;;;;;;;;;;;;;abul;;;;;;;
13;aboutir;abutim;;;;;abuti;;;;;;;abutisjô;;;;abutisE;abutisE;abutir;;;;;;;;;;abutisâ;;;;;;;;abuti;;;abutis;abuti;;;abutis;;;;abutis
14;aboyer;;;;;;abwaja;;;;;;;;;;;abwajE;abwajE;abwaje;;;;;;;;;abwa;abwajâ;;;;;;;;abwa;;abwa;abwa;abwa;;;;;;;
15;abreuver;;;;;;;;;;;;;;;;;;;abr6ve;;;;;;;;;abr9v;abr6vâ;;;;;;;;abr9v;;;abr9v;abr9v;;;;;;;
16;abriter;;;;;;abrita;;;;;;;abritjô;;;;abritE;abritE;abrite;;;;;;;abritô;abrite;abrit;abritâ;;;;;;abrit6rE;abritô;abrit;abrite;;abrit;abrit;;;;;;;
17;abroger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abrOZ;;;;;;;;
18;abrutir;;;;;;abryti;;;;;;abrytira;;;;;;abrytisE;abrytir;;;;;;;;;abryti;;;;;;;;;abryti;;abryti;;abryti;;;;;;;
19;abréger;;;;;;;;;;;;;;;;;;;abrEZe;;;;;;;;abrEZe;abrEZ;;;;;;;;;abrEZ;;;abrEZ;abrEZ;;;;;;;
20;absenter;;;;;;;;;;;;;;;;absâtE;absâtE;absâtE;absâte;;;;;;;;;;;;;;;;;;absât;;;;absât;;;;;;;absât
21;absorber;;;;;absOrbEr;absOrba;;;;;;;;;;;absOrbE;absOrbE;absOrbe;;;;;;;;;absOrb;absOrbâ;;;;;;absOrb6rE;;absOrb;;;absOrb;absOrb;;;;;;;
22;absoudre;;;;;;;;;;;;;;;;;absOlvE;;absudr;;;;;;;;;absu;;;;absudrie;;;absudrE;;absu;;;;absu;;;;;;;
23;abstenir;;;;;;abstê;;abstjêdrE;;;;;;;;;;abst6nE;abst6nir;;;;;;;;abst6ne;;abst6nâ;abstjêdriô;;;;;;;abstjê;abst6ne;abstjê;abstjEn;abstjê;;;abstjEn;;;;
24;abstraire;;;;;;;;;;;;;;;;;;;abstrEr;;;;;;;;;;;;;;;;;;;;;;abstrE;;;;;;;
25;abuser;;;;;;;;;;;;;;;;;abyzE;abyzE;abyze;;;;;;;;abyze;abyz;abyzâ;;;;;;;abyzô;abyz;abyze;abyz;abyz;abyz;;;;;;;
26;abâtardir;;;;;;;;;;;;;;;;;;;abatardir;;;;;;;;;;abatardisâ;;;;;;;;;;;;;;;;;;;
27;abêtir;;;;;;;;;;;;;;;;;;;abEtir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;abîmer;;;;;;;;;;abim6ra;;;;;;;abimE;abimE;abime;;;;;;;;;abim;;;;;;;;;abim;;abim;abim;abim;;;;;;;
29;acagnarder;;;;;;;;;;;;;;;;;;akaJardE;akaJarde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;accabler;;;;;;akabla;;;;;;;akabljô;akablE;;;akablE;akablE;akable;;;;;;;;;akabl;;;;;;;;;akabl;akable;;;akabl;;;;;;;
31;accaparer;;;;;;;;;;;;;;;;;akaparE;akaparE;akapare;;;;;;;;;akapar;;;;;;;;;akapar;;;;akapar;;;;;;;
32;accentuer;;;;;aksâtyEr;aksâtya;;;;;;;;aksâtyE;;;aksâtyE;aksâtyE;aksâtye;;;;;;;;;aksâty;aksâtyâ;;;;;;;;aksâty;;;;aksâty;;;;;;;
33;accepter;;aksEptE;;;aksEptEr;aksEpta;;aksEpt6rE;aksEpt6re;aksEpt6ra;aksEpt6rô;aksEpt6ra;aksEptjô;aksEptE;aksEptje;aksEptE;aksEptE;aksEptE;aksEpte;;;;;;aksEpta;aksEptô;aksEpte;aksEpt;aksEptâ;aksEpt6rjô;aksEpt6rE;aksEpt6rje;aksEpt6rE;aksEpt6rE;aksEpt6rE;aksEptô;aksEpt;aksEpte;aksEpt;aksEpt;aksEpt;;;aksEpt;;;;aksEpt
34;acclamer;;;;;;;;;;;;;;;;;aklamE;aklamE;aklame;;;;;;;;aklame;aklam;;;;;;;;;aklam;;;;;;;;;;;
35;acclimater;;;;;;;;;;;;;;;;;;;aklimate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;accoler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akOl;;;;;;;
37;accommoder;;;;;;akOmOda;;;;;;;;;;;akOmOdE;akOmOdE;akOmOde;;;;;;;;;akOmOd;;;akOmOd6rE;;;;akOmOd6rE;;akOmOd;;;akOmOd;akOmOd;;;;;;;
38;accompagner;;akôpaJE;;;akôpaJEr;akôpaJa;akôpaJ6rô;akôpaJ6rE;akôpaJ6re;;;akôpaJ6ra;;akôpaJE;;akôpaJE;akôpaJE;akôpaJE;akôpaJe;;;;;;;akôpaJô;akôpaJe;akôpaJ;akôpaJâ;;akôpaJ6rE;;akôpaJ6rE;akôpaJ6rE;akôpaJ6rE;;akôpaJ;akôpaJe;akôpaJ;akôpaJ;akôpaJ;;;akôpaJ;akôpaJe;akôpaJ;;
39;accomplir;;;;;akôplir;akôpli;;;;;;akôplira;akôplisjô;akôplisE;;;;akôplisE;akôplir;;;;;;akôpli;;akôplise;akôpli;akôplisâ;;akôplirE;;;akôplirE;akôplirE;akôplisô;akôpli;akôplise;akôpli;akôplis;akôpli;;;akôplis;;;;akôplis
40;accorder;;akOrdE;;;akOrdEr;akOrda;akOrd6rô;akOrd6rE;akOrd6re;;;akOrd6ra;akOrdjô;akOrdE;;akOrdE;akOrdE;akOrdE;akOrde;;;;;;akOrda;akOrdô;akOrde;akOrd;akOrdâ;;;;;;akOrd6rE;;akOrd;akOrde;akOrd;akOrd;akOrd;;;akOrd;;;;akOrd
41;accoster;;;;;;;;;;;;;;;;;;akOstE;akOste;;;;;;;;;;akOstâ;;;;;;;;akOst;akOste;;;akOst;;;;;;;
42;accoter;;;;;;akOta;;;;;;;;;;;;akOtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;accoucher;;;;;;akuSa;;;;akuS6ra;;;;;;;;;akuSe;;;;;;;;;akuS;;;;;;;;;akuS;akuSe;akuS;;akuS;;;;;;;
44;accouder;;akudE;;;;akuda;;;;;;;;;;;;akudE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;accoupler;;;;;;;;;;;;;;;;;;akuplE;;;;;;;;;;;akuplâ;;;;;;;;;;;akupl;;;;;;;;
46;accourir;;akury;;;akuryr;akury;;;;;;;;;;;akurE;akurE;akurir;;;;;;akury;;;akur;;;;;;;akurrE;akurô;akur;akure;akur;akur;akur;;;akur;;;;
47;accoutumer;;;;;;;;;;;;;;;;;akutymE;;akutyme;;;;;;;;;;akutymâ;;;;;;;;;;;;akutym;;;;;;;
48;accrocher;;;;;akrOSEr;akrOSa;;akrOS6rE;;;;;akrOSjô;akrOSE;;akrOSE;akrOSE;akrOSE;akrOSe;;;;;;;;akrOSe;akrOS;akrOSâ;;;;;;;;akrOS;akrOSe;akrOS;akrOS;akrOS;;;;;akrOS;;
49;accroire;;;;;;;;;;;;;;;;;;;akrwar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;accroupir;;;;;;akrupi;;;;;;;;;;;;;akrupir;;;;;;;;;akrupi;akrupisâ;;;;;;;;akrupi;;akrupi;akrupis;akrupi;;;;;;;
51;accroître;;;;;;akry;;;;;;;;;;;;;akrwatr;;;;;;;;;;;;;;;;;;;;;;akrwa;;;;;;;akrwas
52;accréditer;;;;;;;;;;;;;;;;;;;akrEdite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
