;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;;;;abèsEr;abèsa;;;;;;;;;;;abèsè;abèsè;abèse;;;;;;;abèse;abEs;abèsâ;;abès6rè;;;;abès6rè;;abEs;;;;abEs;;;;;;;
1;abandonner;abâdònam;abâdònè;;abâdòna;abâdònEr;abâdòna;;abâdòn6rè;;abâdòn6ra;abâdòn6rô;abâdòn6ra;abâdònjô;abâdònè;;abâdònè;abâdònè;abâdònè;abâdòne;;;;;;abâdònô;abâdòne;abâdòn;abâdònâ;;abâdòn6rè;abâdòn6rje;abâdòn6rè;;abâdòn6rè;abâdònô;abâdòn;abâdòne;abâdòn;abâdòn;abâdòn;;;;;abâdòn;abâdòn;abâdòn
2;abattre;;abati;;;abatir;abati;abatrô;abatrè;;;;abatra;;;;;abatè;abatè;abatr;;;;;;;abate;aba;abatâ;;;;;abatrè;;;aba;abate;aba;abat;aba;;;abat;;;;abat
3;abdiquer;;;;;;abdika;;;;;;;;;;;;;abdike;;;;;;;;;;;;;;;;;abdik;;;;;;;;;;;
4;abhorrer;;;;;;;;;;;;;;;;;;;abòre;;;;;;;;;;;;;;;;;abOr;;;;;;;;;;;
5;abjurer;;;;;;;;;;;;;;;;;;;abZyre;;;;;;;;;;;;;;;;;abZyr;abZyre;;;abZyr;;;;;;;
6;abolir;;;;;;abòli;;;;;;;;;;;abòlisè;abòlisè;abòlir;;;;;;abòlisô;;;abòlisâ;;;;;;;;abòli;;;abòlis;;;;;;;;
7;abonder;;;;;;;;;;;;;;abôdè;;;abôdè;;abôde;;;;;;;;;;;;;;;;;;;;abôd;abôd;;;;;;;
8;abonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abòn;abòne;;;abòn;;;;;;;
9;aborder;;abOrdè;;;abOrdEr;abOrda;;;;;;abOrd6ra;;;;;abOrdè;abOrdè;abOrde;;;;;;abOrdô;abOrde;abOrd;abOrdâ;abOrd6rjô;;;;;abOrd6rè;abOrdô;abOrd;abOrde;;;abOrd;;;;;;;
10;aboucher;;;;;;;;;;;;;;;;;;abuSè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;abouler;;;;;;;;;;;;;;;;;;;abule;;;;;;;;abul;;;;;;;;;;;;;abul;;;;;;;
12;aboutir;;;;;;abuti;;;;;;abutira;abutisjô;;;;abutisè;abutisè;abutir;;;;;;;;;;;;;;;abutirè;;;;abuti;abutis;abuti;;;;;;;
13;aboyer;;;;;;abwaja;;;;;abwarô;;;;;;abwajè;abwajè;abwaje;;;;;;;;abwa;abwajâ;;;;;;;abwajô;abwa;;;abwa;abwa;;;;;;;
14;abreuver;;;;;;;;;;;;;;;;;abr6vè;abr6vè;abr6ve;;;;;;;;abr9v;abr6vâ;;;;;;;;abr9v;;;abr9v;abr9v;;;;;;;
15;abriter;;;;;abritEr;abrita;;;;;;;;;;;abritè;abritè;abrite;;;;;;;abrite;abrit;abritâ;;;;;;;;abrit;abrite;abrit;abrit;abrit;;;;;;;
16;abroger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abrOZ;;;;;;;;
17;abrutir;;;;;;abryti;;;;;;;;;;;;abrytisè;abrytir;;;;;;;;abryti;;;;;;;;;abryti;;abryti;;;;;;;;;
18;abréger;;abrèZè;;;;;;;;;;;;;;;;abrèZè;abrèZe;;;;;;;abrèZe;abrEZ;;;;;;;;;abrEZ;;;;abrEZ;;;;;;;
19;absenter;;;;;;;;absât6rè;;;;;;;;absâtè;absâtè;absâtè;absâte;;;;;;;;;;;;;;;;;absât;;absât;;absât;;;;;;;absât
20;absorber;;;;;absOrbEr;absOrba;;;;;;;;;;;absOrbè;absOrbè;absOrbe;;;;;;;;absOrb;absOrbâ;;;;;absOrb6rè;;;absOrb;;;absOrb;absOrb;;;;;;;
21;absoudre;;;;;;;;;;;;;;;;;;absOlvè;absudr;;;;;;;;absu;;;;;;;;;absu;;;;absu;;;;;;;
22;abstenir;;abstê;;;;;abstjêdrô;;;;abstjêdrô;;;;;;;abst6nè;abst6nir;;;;;;;abst6ne;abstjê;;;;;;abstjêdrè;;;;abst6ne;abstjê;abstjEn;;;;;;;;
23;abstraire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abstrè;;;;;;;
24;abuser;;;;;;;;;abyz6re;;;;;;;;;abyzè;abyze;;;;;;;abyze;abyz;abyzâ;;abyz6rè;;abyz6rè;;;abyzô;abyz;abyze;abyz;abyz;abyz;;;;;;;
25;abâtardir;;;;;;;;;;;;;;;;;;;;;;;;;;;;abatardisâ;;;;;;;;;;;;;;;;;;;
26;abêtir;;;;;;abèti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;abîmer;;;;;;abima;;;;;abim6rô;abim6ra;;;;;;abimè;abime;;;;;;;abime;abim;abimâ;;;;;;abim6rè;abimô;abim;abime;;abim;abim;;;;;;;
28;accabler;;;;;;akabla;;;;;;;;;;;akablè;akablè;akable;;;;;;;;akabl;akablâ;;;;;;;;akabl;akable;;akabl;akabl;;;;;;;
29;accaparer;;;;;;;;;;;;;;;;;akaparè;;akapare;;;;;;;;;;;;;;;;;akapar;;;;akapar;;;;;;;
30;accentuer;;;;;;aksâtya;;;;;;;;;;;;aksâtyè;aksâtye;;;;;;;;aksâty;aksâtyâ;;;;;;;;aksâty;aksâtye;;;aksâty;;;;;;;
31;accepter;;aksEptè;;;aksEptEr;aksEpta;aksEpt6rô;aksEpt6rè;aksEpt6re;;aksEpt6rô;aksEpt6ra;aksEptjô;aksEptè;aksEptje;aksEptè;aksEptè;aksEptè;aksEpte;;;;aksEptas;aksEpta;aksEptô;aksEpte;aksEpt;aksEptâ;;aksEpt6rè;aksEpt6rje;aksEpt6rè;aksEpt6rè;aksEpt6rè;aksEptô;aksEpt;aksEpte;aksEpt;aksEpt;aksEpt;;;aksEpt;;;;aksEpt
32;acclamer;;;;;;;;;;;aklam6rô;;;;;;aklamè;;aklame;;;;;;;;aklam;;;;;;;;;aklam;;;;aklam;;;;;;;
33;acclimater;;;;;;;;;;;;;;;;;;;aklimate;;;;;;;;;;;;;;;aklimat6rè;;;;;;;;;;;;;
34;accoler;;;;;;;;;;;;;;;;;;;akòle;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;accommoder;;;;;;akòmòda;;;;;;;akòmòdjô;akòmòdè;;;akòmòdè;akòmòdè;akòmòde;;;;;;;;akòmOd;akòmòdâ;akòmòd6rjô;;;;;;;akòmOd;;;akòmOd;akòmOd;;;;;;;
36;accompagner;;akôpaJè;;;akôpaJEr;akôpaJa;;akôpaJ6rè;akôpaJ6re;akôpaJ6ra;;akôpaJ6ra;;akôpaJè;akôpaJe;akôpaJè;akôpaJè;akôpaJè;akôpaJe;;;;;;akôpaJô;akôpaJe;akôpaJ;akôpaJâ;;;;akôpaJ6rè;;akôpaJ6rè;akôpaJô;akôpaJ;akôpaJe;akôpaJ;akôpaJ;akôpaJ;;;akôpaJ;;akôpaJ;;
37;accomplir;;;;;;akôpli;;akôplirè;akôplire;;;akôplira;;;;;akôplisè;akôplisè;akôplir;;;;;;;akôplise;akôpli;akôplisâ;;akôplirè;;;;;akôplisô;akôpli;;akôpli;akôplis;akôpli;;;akôplis;;;;akôplis
38;accorder;;akOrdè;;;;akOrda;;;;akOrd6ra;akOrd6rô;akOrd6ra;akOrdjô;akOrdè;akOrdje;akOrdè;akOrdè;akOrdè;akOrde;;;;;akOrda;;akOrde;akOrd;akOrdâ;;akOrd6rè;;akOrd6rè;;;akOrdô;akOrd;akOrde;akOrd;akOrd;akOrd;;;akOrd;akOrdje;;;akOrd
39;accoster;;;;;;akòsta;;;;;;;;;akòstje;;;akòstè;akòste;;;;;;;;;;;;;;;;;;;;;akOst;;;;;;;
40;accoter;;;;;;akòta;;;;;;;;;;;;;akòte;;;;;;;;;akòtâ;;;;;;;;;;;;akOt;;;;;;;
41;accoucher;;;;;;akuSa;;;;;;;;akuSè;;;;;akuSe;;;;;;;;akuS;akuSâ;;;;;;;;akuS;;akuS;;akuS;;;;;;;
42;accouder;;akudè;;;akudEr;akuda;;;;;;;;;;;;akudè;akude;;;;;;;;;akudâ;;;;;;;;;;;;akud;;;;;;;
43;accoupler;;;;;;;;;;;;akupl6ra;;;;;akuplè;;akuple;;;;;;;;;;;;;;;;;akupl;;;akupl;akupl;;;;;;;
44;accourcir;;;;;;;;;;;;;;;;;;;;;;;;;;;;akursisâ;;;;;;;;;;;;;;;;;;;
45;accourir;;akury;;;akuryr;akury;;akurrè;;;;;;;;;akurè;akurè;akurir;;;;;;;;;;;;;;;;;;akure;akur;akur;akur;;;;;;;akur
46;accoutumer;;;;;;;;;;;;;;;;;akutymè;;akutyme;;;;;;;;;;;;;;;;;akutym;;;;akutym;;;;;;;
47;accrocher;;akròSè;;;akròSEr;akròSa;;akròS6rè;;;;akròS6ra;akròSjô;akròSè;;akròSè;akròSè;akròSè;akròSe;;;;;akròSa;;akròSe;akrOS;akròSâ;;;;;;;;akrOS;akròSe;akrOS;akrOS;akrOS;;;;;akrOS;;
48;accroire;;;;;;;;;;;;;;;;;;;akrwar;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;accroupir;;;;;akrupir;akrupi;;;;;;;;;;;;;akrupir;;;;;;;;akrupi;;;;;;;;;akrupi;;akrupi;;akrupi;;;;;;;
50;accroître;;;;;;akry;;;;;;akrwatra;;;;;;;akrwatr;;;;;;;;;;;;;;;;;;;;;akrwa;;;;;;;
51;accueillir;;ak6ji;;;ak6jir;ak6ji;;ak6j6rè;ak6j6re;;ak6j6rô;ak6j6ra;;ak6jè;;ak6jè;;ak6jè;ak6jir;;;;;;ak6jô;;ak9j;ak6jâ;;;;;;ak6j6rè;ak6jô;ak9j;ak6je;;ak9j;ak9j;;;;;;;
52;acculer;;;;;;;;;;;;;;;;;akylè;;akyle;;;;;;;;;;;;;;;;;;akyle;;;;;;;;;;
53;accumuler;;;;;;;;;;;;;;;;;akymylè;akymylè;akymyle;;;;;;;;akymyl;akymylâ;;;;;;;;akymyl;;;akymyl;akymyl;;;;;;;
54;accuser;;akyzè;;;;akyza;;;;;;;;;;akyzè;akyzè;akyzè;akyze;;;;;;akyzô;akyze;akyz;akyzâ;;;;akyz6rè;;;akyzô;akyz;akyze;akyz;akyz;akyz;;;;;;;akyz
55;accéder;;;;;;aksèda;;;;;;aksèd6ra;;aksèdè;;;;aksèdè;aksède;;;;;;;aksède;aksEd;;;aksèd6rè;;;aksèd6rè;aksèd6rè;;aksEd;;;;aksEd;;;;;;;aksEd
56;accélérer;;;;;;aksèlèra;;;;;;;;;;;aksèlèrè;aksèlèrè;aksèlère;;;;;;;aksèlère;aksèlEr;aksèlèrâ;;;;;;;;aksèlEr;aksèlère;;aksèlEr;aksèlEr;;;;;;;
57;acharner;;aSarnè;;;aSarnEr;aSarna;;;;;;;;aSarnè;;;aSarnè;aSarnè;aSarne;;;;;;;;aSarn;aSarnâ;;;;;;;;aSarn;;;aSarn;aSarn;;;;;;;
