;lexeme;ai1S;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abEs;;;;;;;;;;
1;abandonner;;;;;abâdOn6rô;;;;;;;;;;;;abâdOnE;;;;;;abâdOn;;;;;;;;;;;;;;;;;abâdOnE;;;;;;
2;abattre;;;;;;;;;;;;;;;;;abatr;;;;;;;;;;;;;;;aba;;;;;;;;abaty;;;;;;
3;aboutir;;;;;;;;;;;;;;;;;abutir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;abriter;;;;;;;;;;;;;;;;abritE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;abréger;;;;;;;;;;;;;;;;;abrEZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;accepter;;;;;;;;;;;;;;;;;;;;;;;;aksEptâ;;;;;;;;;;;;aksEpt;;;;;;;;;;
7;accommoder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akOmOd;;;;;;;;;;
8;accompagner;;;;;;;;;;;;;;;;;;;;;;;akôpaJ;;;;;;;;;;;;;;;;;;;akôpaJ;;;;
9;accomplir;;;;;;;;;;;;;;;;;akôplir;;;;;;;;;;;;;;;;;;;;;akôpli;;;;;;;;
10;accorder;;;;;;;;;;;;;;;;;;;;;;;akOrd;;;;;;;;;;;;;;;;;;;;;;;akOrd
11;accrocher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akrOSE;;;;;akrOSE;;;;;;;;
12;accueillir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ak9j;;;;;;;;;;;;;;
13;accumuler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akymylE;;;;;;;;;
14;accuser;;;;;;;;;;;;;;;;;akyzE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;acheter;;;;;;;;;;;;;;;;;aS6tE;;;;;aS6tE;aSEt;;;;;;;;;aSEt;;;;aSEt;aS6tE;;;;;;;;;
16;achever;;;;;;;;;;;;;;;;;aS6vE;;;;;;;;;;;;;;;;;;;aSEv;;;;;;;;;;
17;adapter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adapt;;;;;;;;;;
18;adjoindre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adZwê;;;;;;
19;admettre;;;;;;;;;;;;;;;;;admEtr;;;;;;admE;admEtâ;;;;;;;;;;;;admE;;;;;;;;;;
20;admirer;;;;;;;;;;;;;;;;admirE;;;;;;;;;;;;;;;;;;;;admir;;;;;;;;;;
21;adopter;;;;;;;;;;;;;;;;adOptE;;;;;;;;;;;;;;;;;;;;;;;;adOptE;;;;;;
22;adorer;;;;;;;;;;;;;;adOrE;;;;;;;;;adOr;;;;;;;;;;;;;adOr;;;;;;;;;;
23;adoucir;;;;;;;;;;;;;;;;adusisE;adusir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;adresser;;;;;;;;;;;;;;;;adrEsE;adrEsE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adrEs
25;affaisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afEs;;;;;;;;;;
26;affecter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afEktE;;;;;;;;;;;;;
27;affirmer;;;;;;;;;;;;;;;;;;;;;;;afirm;;;;;;;;;;;;;;;;;;;;;;;
28;affliger;;;;;;;;;;;;;;;afliZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;affronter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afrôt;;;;;;;;;;
30;agacer;;;;;;;;;;;;;;;;;agasE;;;;;;;;;;;;;;;;;;;;;;;agasE;;;;;;
31;agenouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aZ6nuj;;;;;;;;;;
32;aggraver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agrav;;;;;;;;;;
33;agir;;;;aZi;;;;;;;;;;;;;;;;;;;;;;;;;;aZirE;;;;aZi;;aZi;;;;;;;;;;
34;agiter;;;;;;;;;aZit6rô;;;;;;;;aZitE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;aider;;;;;;Ed6rE;;;;;;;;;EdE;;EdE;;;;;EdE;Ed;;;;;;;;;Ed;EdE;;;Ed;;;;EdE;;Ed;;;;Ed
36;aimer;;;;;;Em6rE;;;Em6rô;;;EmE;EmjE;EmE;;EmE;EmE;;;;;EmE;Em;;Em6rjô;Em6rE;;Em6rE;;;Emô;Em;;Em;Em;Em;;EmE;;EmE;;Em;;Em;;Em
37;ajouter;;;;;;;;;;;;;;;;aZutE;;;;;;;aZut;;;;;aZut6rE;;;;;;;;;;;;aZutE;;;;;;aZut
38;aligner;;;;;;;;;;;;aliJE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;aller;;;;ala;;;irE;;;ira;;alE;aljE;alE;;alE;alE;;;;alô;alE;va;;irjô;;;;;irE;alô;vE;alE;va;vô;va;;alE;;alE;;aj;;;;aj
40;allier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aljE;;;;;;
41;allonger;;;;;;;;;;;;;;;;;alôZE;;;;;;;;;;;;;;;;;;;;;alôZE;;alôZE;;;;;;
42;allumer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;alym;alymE;;;;;;;;;;;;;
43;alléger;;;;;;;;;;alEZ6ra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;amasser;;;;;;;;;;;;;;;;;;;;;;;;amasâ;;;;;;;;;;;;;;;;;;;;;;
45;amener;;;;;;;;;;;;;;;;;;;;;;;amEn;;;;;;;;;;;;;;;;;am6nE;;amEn;;amEn;;amEn
46;amuser;;;;;;;;;;;;;amyzjE;;;;amyzE;;;;;;;;;;;;;;;;;amyz;amyz;amyz;;;;;;;;;;amyz
47;animer;;;;;;;;;;;;;;;;;;;;;;;anim;;;;;;;;;;;;;;;;;;;;;;;
48;annoncer;;;;;;;;;;;;;;anôsE;;anôsE;;;;;;;;;;;;;;;;;;;;;;;;anôsE;;;;;;
49;annuler;;;;;;;;;;;;;;;;;anylE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;anéantir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;anEâti;anEâti;;;;;;
