;lexeme;ai1S;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abEs;;;;;;;;;;
1;abandonner;;;;;abâdOn6rô;;;;;;;;;;;;abâdOne;;;;;;abâdOn;;;;;;;;;;;;;;;;;abâdOne;;;;;;
2;abattre;;;;;;;;;;;;;;;;;abatr;;;;;;;;;;;;;;;aba;;;;;;;;abaty;;;;;;
3;aboutir;;;;;;;;;;;;;;;;;abutir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;abriter;;;;;;;;;;;;;;;;abritE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;abréger;;;;;;;;;;;;;;;;;abrEZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;accepter;;;;;;;;;;;;;;;;;;;;;;;;aksEptâ;;;;;;;;;;;;aksEpt;;;;;;;;;;
7;accommoder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akOmOd;;;;;;;;;;
8;accompagner;;;;;;;;;;;;;;;;;;;;;;;akôpaJ;;;;;;;;;;;;;;;;;;;akôpaJ;;;;
9;accomplir;;;;;;;;;;;;;;;;;akôplir;;;;;;;;;;;;;;;;;;;;;akôpli;;;;;;;;
10;accorder;;;;;;;;;;;;;;;;;;;;;;;akOrd;;;;;;;;;;;;;;;;;;;;;;;akOrd
11;accrocher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akrOSe;;;;;akrOSe;;;;;;;;
12;accueillir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ak9j;;;;;;;;;;;;;;
13;accumuler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akymyle;;;;;;;;;
14;accuser;;;;;;;;;;;;;;;;;akyze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;acheter;;;;;;;;;;;;;;;;;aS6te;;;;;aS6te;aSEt;;;;;;;;;aSEt;;;;aSEt;aS6te;;;;;;;;;
16;achever;;;;;;;;;;;;;;;;;aS6ve;;;;;;;;;;;;;;;;;;;aSEv;;;;;;;;;;
17;adapter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adapt;;;;;;;;;;
18;adjoindre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adZwê;;;;;;
19;admettre;;;;;;;;;;;;;;;;;admEtr;;;;;;admE;admEtâ;;;;;;;;;;;;admE;;;;;;;;;;
20;admirer;;;;;;;;;;;;;;;;admirE;;;;;;;;;;;;;;;;;;;;admir;;;;;;;;;;
21;adopter;;;;;;;;;;;;;;;;adOptE;;;;;;;;;;;;;;;;;;;;;;;;adOpte;;;;;;
22;adorer;;;;;;;;;;;;;;adOrE;;;;;;;;;adOr;;;;;;;;;;;;;adOr;;;;;;;;;;
23;adoucir;;;;;;;;;;;;;;;;adusisE;adusir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;adresser;;;;;;;;;;;;;;;;adrEsE;adrEse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adrEs
25;affaisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afEs;;;;;;;;;;
26;affecter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afEkte;;;;;;;;;;;;;
27;affirmer;;;;;;;;;;;;;;;;;;;;;;;afirm;;;;;;;;;;;;;;;;;;;;;;;
28;affliger;;;;;;;;;;;;;;;afliZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;affronter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afrôt;;;;;;;;;;
30;agacer;;;;;;;;;;;;;;;;;agase;;;;;;;;;;;;;;;;;;;;;;;agase;;;;;;
31;agenouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aZ6nuj;;;;;;;;;;
32;aggraver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agrav;;;;;;;;;;
33;agir;;;;aZi;;;;;;;;;;;;;;;;;;;;;;;;;;aZirE;;;;aZi;;aZi;;;;;;;;;;
34;agiter;;;;;;;;;aZit6rô;;;;;;;;aZite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;aider;;;;;;Ed6rE;;;;;;;;;EdE;;Ede;;;;;Ede;Ed;;;;;;;;;Ed;Ede;;;Ed;;;;Ede;;Ed;;;;Ed
36;aimer;;;;;;Em6rE;;;Em6rô;;;EmE;Emje;EmE;;EmE;Eme;;;;;Eme;Em;;Em6rjô;Em6rE;;Em6rE;;;Emô;Em;;Em;Em;Em;;Eme;;Eme;;Em;;Em;;Em
37;ajouter;;;;;;;;;;;;;;;;aZutE;;;;;;;aZut;;;;;aZut6rE;;;;;;;;;;;;aZute;;;;;;aZut
38;aligner;;;;;;;;;;;;aliJE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;aller;;;;ala;;;ire;;;ira;;alE;alje;alE;;alE;ale;;;;alô;ale;va;;irjô;;;;;irE;alô;vE;ale;va;vô;va;;ale;;ale;;aj;;;;aj
40;allier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;alje;;;;;;
41;allonger;;;;;;;;;;;;;;;;;alôZe;;;;;;;;;;;;;;;;;;;;;alôZe;;alôZe;;;;;;
42;allumer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;alym;alyme;;;;;;;;;;;;;
43;alléger;;;;;;;;;;alEZ6ra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;amasser;;;;;;;;;;;;;;;;;;;;;;;;amasâ;;;;;;;;;;;;;;;;;;;;;;
45;amener;;;;;;;;;;;;;;;;;;;;;;;amEn;;;;;;;;;;;;;;;;;am6ne;;amEn;;amEn;;amEn
46;amuser;;;;;;;;;;;;;amyzje;;;;amyze;;;;;;;;;;;;;;;;;amyz;amyz;amyz;;;;;;;;;;amyz
47;animer;;;;;;;;;;;;;;;;;;;;;;;anim;;;;;;;;;;;;;;;;;;;;;;;
48;annoncer;;;;;;;;;;;;;;anôsE;;anôsE;;;;;;;;;;;;;;;;;;;;;;;;anôse;;;;;;
49;annuler;;;;;;;;;;;;;;;;;anyle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;anéantir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;anEâti;anEâti;;;;;;
