;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;;;;abèsEr;abèsa;;abès6rè;;;;;;;;;;abèsè;abèse;;;;;;;;;abEs;abèsâ;;;;;;;;abEs;;;;abEs;;abèse;;abèse;;;;;;
1;abandonner;;abâdònè;;;;abâdòna;abâdòn6rô;abâdòn6rè;;abâdòn6ra;abâdòn6rô;abâdòn6ra;;abâdònè;;abâdònè;;abâdònè;abâdòne;;;;;;;abâdònô;abâdòne;abâdòn;abâdònâ;;abâdòn6rè;;abâdòn6rè;;abâdòn6rè;abâdònô;abâdòn;abâdòne;abâdòn;abâdòn;abâdòn;abâdòne;abâdòne;abâdòne;abâdòne;;;;abâdòn;abâdòn;abâdòn
2;abasourdir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abazurdi;;;;;;
3;abattre;;abati;;;abatir;abati;;abatrè;;;;;;;;;abatè;abatè;abatr;;;;;;;;abate;aba;abatâ;;;;;;abatrè;;aba;abate;aba;abat;aba;;abaty;abaty;abaty;;abat;;;;
4;abdiquer;;abdikè;;;;;;;;;;;;abdikè;;;;;;;;;;;;;;;;;;;;;;;abdik;;;;abdik;;;;;;;;;;
5;abhorrer;;;;;;;;;;;;;;;;;;;abòre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;abjurer;;;;;;;;;;;;;;;;;;;abZyre;;;;;;;;;;;;;;;;;;abZyr;;;;;;;;;;;;;;
7;abolir;;;;;;abòli;;;;;;abòlira;;;;;abòlisè;;abòlir;;;;;;;;;;abòlisâ;;;;;;;;abòli;;;;abòli;;abòli;abòli;abòli;;;;;;
8;abonder;;;;;;;;;;;;;;;;;abôdè;;;;;;;;;;;;;;;;;;;;abôd;;;abôd;abôd;;;;;;;;;;
9;abonner;;;;;;;;;;;;;;;;;;;;;;;;;abòna;;;;;;;;;;;;abòn;abòne;;;;;;;;;;;;;
10;aborder;;;;;abOrdEr;abOrda;;;;;;;;abOrdè;;;abOrdè;abOrdè;abOrde;;;;;;;;abOrde;abOrd;;;;;;;;abOrdô;abOrd;abOrde;abOrd;;abOrd;abOrde;;abOrde;abOrde;;;;;;
11;aboucher;;;;;;;;;;;;;;;;;;;abuSe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;abouler;;;;;;;;;;;;;;;;;;;abule;;;;;;;;;abul;;;;;;;;;;;;;abul;;;;;;;;;;
13;aboutir;;;;;;;;;;;;;;;abutisje;;abutisè;abutisè;abutir;;;;;;;;;;abutisâ;;;;;;;;;;;abutis;abuti;;;;;;;;;;
14;aboyer;;;;;;abwaja;;;;;;abwara;;;;;;abwajè;abwaje;;;;;;;;;abwa;abwajâ;;;;;;;abwajô;abwa;;;abwa;abwa;;;;;;;;;;
15;abreuver;;;;;;abr6va;;;;;;;;;;;abr6vè;;abr6ve;;;;;;;;;abr9v;abr6vâ;;;;;;;;;;;;;;;;abr6ve;;;;;;
16;abriter;;;;;;;abrit6rô;;;;;;;abritè;;;abritè;abritè;abrite;;;;;;;;abrite;abrit;;;;;;;;;abrit;;;;abrit;abrite;abrite;;abrite;;;;;;
17;abroger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abròZe;;;;;;;
18;abrutir;;;;;;;;;;;;;;;;;;;abrytir;;;;;;;;;abryti;;;;;;;;;abryti;;;;;;abryti;abryti;abryti;;;;;;
19;abréger;;;;;;;;;;;;;;;;;;;abrèZe;;;;;;;abrèZô;;;;;;;;;;;;;;;abrEZ;;;;abrèZe;;;;;;
20;absenter;;;;;;;;;;;;;;;;;;absâtè;absâte;;;;;;;;;;;;;;;;;;absât;;;;absât;;;;;;;;;;absât
21;absorber;;;;;;absOrba;;;;;;;;;;;;absOrbè;absOrbe;;;;;;;;;absOrb;absOrbâ;;;;;;;;absOrb;;;absOrb;absOrb;;absOrbe;absOrbe;absOrbe;;;;;;
22;absoudre;;;;;;;;;;;;;;;;;;;absudr;;;;;;;;;absu;;;;;;;;;absu;;;;absu;;;;;;;;;;
23;abstenir;;;;;;;;;;;;;;abst6nè;;;;abst6nè;abst6nir;;;;;;;;;abstjê;;;;;;;;;abstjê;abst6ne;abstjê;;;;abst6ny;;;;;;;;
24;abstraire;;;;;;;;;;;;;;;;;;;abstrEr;;;;;;;;;;;;;;;;;;;;;;abstrè;;;abstrè;abstrè;;;;;;
25;abuser;;;;;;;;;;;;;;;;;;abyzè;abyze;;;;;;;abyzô;abyze;abyz;abyzâ;;abyz6rè;;;;;abyzô;abyz;abyze;;abyz;abyz;;;;abyze;;;;;;
26;abîmer;;abimè;;;;;;;;;;;;;;;;abimè;abime;;;;;;;;abime;abim;abimâ;;;;;;abim6rè;;abim;abime;abim;abim;abim;;abime;abime;abime;;;;;;
27;acagnarder;;;;;;;;;;;;;;;;;;;akaJarde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;accabler;;;;;akablEr;;;;;;;;;;;;akablè;akablè;akable;;;;;;;;akable;akabl;akablâ;;;;;;;;akabl;;;;akabl;;;akable;akable;;;;;;
29;accaparer;;;;;;;;;;;;;;;;;;akaparè;akapare;;;;;;;;;akapar;;;;;;;akapar6rè;;;;;;akapar;;;;akapare;;;;;;
