;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;abèsam;abèsè;abèsat;abèsa;abèsEr;abèsa;abès6rô;abès6rè;abès6re;abès6ra;abès6rô;abès6ra;abèsjô;abèsè;abèsje;abèsè;abèsè;abèsè;abèse;abèsasjô;abèsas;abèsasje;abèsas;abèsas;abèsa;abèsô;abèse;abEs;abèsâ;abès6rjô;abès6rè;abès6rje;abès6rè;abès6rè;abès6rè;abèsô;abEs;abèse;abEs;abEs;abEs;abèse;abèse;abèse;abèse;abèsjô;abEs;abèsje;abEs;abEs;abEs
1;abandonner;abâdònam;abâdònè;abâdònat;abâdòna;abâdònEr;abâdòna;abâdòn6rô;abâdòn6rè;abâdòn6re;abâdòn6ra;abâdòn6rô;abâdòn6ra;abâdònjô;abâdònè;abâdònje;abâdònè;abâdònè;abâdònè;abâdòne;abâdònasjô;abâdònas;abâdònasje;abâdònas;abâdònas;abâdòna;abâdònô;abâdòne;abâdòn;abâdònâ;abâdòn6rjô;abâdòn6rè;abâdòn6rje;abâdòn6rè;abâdòn6rè;abâdòn6rè;abâdònô;abâdòn;abâdòne;abâdòn;abâdòn;abâdòn;abâdòne;abâdòne;abâdòne;abâdòne;abâdònjô;abâdòn;abâdònje;abâdòn;abâdòn;abâdòn
2;abasourdir;abazurdim;abazurdi;abazurdit;abazurdi;abazurdir;abazurdi;abazurdirô;abazurdirè;abazurdire;abazurdira;abazurdirô;abazurdira;abazurdisjô;abazurdisè;abazurdisje;abazurdisè;abazurdisè;abazurdisè;abazurdir;abazurdisjô;abazurdis;abazurdisje;abazurdis;abazurdis;abazurdi;abazurdisô;abazurdise;abazurdi;abazurdisâ;abazurdirjô;abazurdirè;abazurdirje;abazurdirè;abazurdirè;abazurdirè;abazurdisô;abazurdi;abazurdise;abazurdi;abazurdis;abazurdi;abazurdi;abazurdi;abazurdi;abazurdi;abazurdisjô;abazurdis;abazurdisje;abazurdis;abazurdis;abazurdis
3;abattre;abatim;abati;abatit;abati;abatir;abati;abatrô;abatrè;abatre;abatra;abatrô;abatra;abatjô;abatè;abatje;abatè;abatè;abatè;abatr;abatisjô;abatis;abatisje;abatis;abatis;abati;abatô;abate;aba;abatâ;abatriô;abatrè;abatrie;abatrè;abatrè;abatrè;abatô;aba;abate;aba;abat;aba;abaty;abaty;abaty;abaty;abatjô;abat;abatje;abat;abat;abat
4;abcéder;absèdam;absèdè;absèdat;absèda;absèdEr;absèda;absèd6rô;absèd6rè;absèd6re;absèd6ra;absèd6rô;absèd6ra;absèdjô;absèdè;absèdje;absèdè;absèdè;absèdè;absède;absèdasjô;absèdas;absèdasje;absèdas;absèdas;absèda;absèdô;absède;absEd;absèdâ;absèd6rjô;absèd6rè;absèd6rje;absèd6rè;absèd6rè;absèd6rè;absèdô;absEd;absède;absEd;absEd;absEd;;;;absède;absèdjô;absEd;absèdje;absEd;absEd;absEd
5;abdiquer;abdikam;abdikè;abdikat;abdika;abdikEr;abdika;abdik6rô;abdik6rè;abdik6re;abdik6ra;abdik6rô;abdik6ra;abdikjô;abdikè;abdikje;abdikè;abdikè;abdikè;abdike;abdikasjô;abdikas;abdikasje;abdikas;abdikas;abdika;abdikô;abdike;abdik;abdikâ;abdik6rjô;abdik6rè;abdik6rje;abdik6rè;abdik6rè;abdik6rè;abdikô;abdik;abdike;abdik;abdik;abdik;abdike;abdike;abdike;abdike;abdikjô;abdik;abdikje;abdik;abdik;abdik
6;abecquer;abèkam;abèkè;abèkat;abèka;abèkEr;abèka;abèk6rô;abèk6rè;abèk6re;abèk6ra;abèk6rô;abèk6ra;abèkjô;abèkè;abèkje;abèkè;abèkè;abèkè;abèke;abèkasjô;abèkas;abèkasje;abèkas;abèkas;abèka;abèkô;abèke;abEk;abèkâ;abèk6rjô;abèk6rè;abèk6rje;abèk6rè;abèk6rè;abèk6rè;abèkô;abEk;abèke;abEk;abEk;abEk;abèke;abèke;abèke;abèke;abèkjô;abEk;abèkje;abEk;abEk;abEk
7;aberrer;abèram;abèrè;abèrat;abèra;abèrEr;abèra;abèr6rô;abèr6rè;abèr6re;abèr6ra;abèr6rô;abèr6ra;abèrjô;abèrè;abèrje;abèrè;abèrè;abèrè;abère;abèrasjô;abèras;abèrasje;abèras;abèras;abèra;abèrô;abère;abEr;abèrâ;abèr6rjô;abèr6rè;abèr6rje;abèr6rè;abèr6rè;abèr6rè;abèrô;abEr;abère;abEr;abEr;abEr;;;;abère;abèrjô;abEr;abèrje;abEr;abEr;abEr
8;abhorrer;abòram;abòrè;abòrat;abòra;abòrEr;abòra;abòr6rô;abòr6rè;abòr6re;abòr6ra;abòr6rô;abòr6ra;abòrjô;abòrè;abòrje;abòrè;abòrè;abòrè;abòre;abòrasjô;abòras;abòrasje;abòras;abòras;abòra;abòrô;abòre;abOr;abòrâ;abòr6rjô;abòr6rè;abòr6rje;abòr6rè;abòr6rè;abòr6rè;abòrô;abOr;abòre;abOr;abOr;abOr;abòre;abòre;abòre;abòre;abòrjô;abOr;abòrje;abOr;abOr;abOr
9;abjurer;abZyram;abZyrè;abZyrat;abZyra;abZyrEr;abZyra;abZyr6rô;abZyr6rè;abZyr6re;abZyr6ra;abZyr6rô;abZyr6ra;abZyrjô;abZyrè;abZyrje;abZyrè;abZyrè;abZyrè;abZyre;abZyrasjô;abZyras;abZyrasje;abZyras;abZyras;abZyra;abZyrô;abZyre;abZyr;abZyrâ;abZyr6rjô;abZyr6rè;abZyr6rje;abZyr6rè;abZyr6rè;abZyr6rè;abZyrô;abZyr;abZyre;abZyr;abZyr;abZyr;abZyre;abZyre;abZyre;abZyre;abZyrjô;abZyr;abZyrje;abZyr;abZyr;abZyr
