;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;;;;;abEsa;;;;;;;;;;;;;;;;;;;abEs;;;;;;;;;abEs;abEse;;;abEs;;;;;;;;;;
1;abandonner;;;;;abâdOnEr;abâdOna;;;;;;abâdOn6ra;;;;abâdOnE;;abâdOnE;abâdOne;;;;;abâdOne;abâdOn;abâdOnâ;;;;abâdOn6rE;;abâdOn6rE;;abâdOn;abâdOne;;abâdOn;abâdOn;abâdOne;abâdOne;;abâdOne;;;;abâdOn;abâdOn;abâdOn
2;abasourdir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abazurdi;;;;;;
3;abattre;;;;;abatir;abati;;;;;;;;;;;abatE;abatE;abatr;;;;;abate;;abatâ;;;;;;;;;;;abat;aba;;abaty;abaty;abaty;;abat;;;;abat
4;abdiquer;;;;;;;;;;;;;;;;;;abdikE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;abjurer;;;;;;;;;;;;;;;;;;;abZyre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;abolir;;;;;;;;;;;;;;;;;;;abOlir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;abonder;;;;;;;;;;;;;;;;;;abôdE;;;;;;;;;;;;;;;;;;;abôd;;;;;;;;;;;
8;aborder;;;;;abOrdEr;;;;;;;;;;;;;abOrdE;abOrde;;;;abOrdô;;abOrd;;;;;;;;;abOrd;;;;;;;;abOrde;;;;;;
9;abouler;;;;;;;;;;;;;;;;;;;;;;;;;abul;;;;;;;;;;;;;;;;;;;;;;;
10;aboutir;;;;;;abuti;;;;;;;;;;;;abutisE;abutir;;;;;;;;;;;;;;;;;;abutis;abuti;;;;;;;;;;
11;aboyer;;;;;;;;;;;;;;;;;;abwajE;abwaje;;;;;;abwa;abwajâ;;;;;;;;;;;;;;;;;;;;;;
12;abriter;;;;;;;;;;;;abrit6ra;;;;;abritE;;abrite;;;;;abrite;abrit;;;;;;;;;;abrite;abrit;abrit;;;;;abrite;;;;;;
13;abréger;;;;;;;;;;;;;;;;;;;abrEZe;;;;;;abrEZ;;;;;;;;;;;;;;;;;;;;;;;
14;absenter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;absât;;;;;;;;;;;;;;
15;absorber;;;;;;absOrba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;absOrbe;absOrbe;;absOrbe;;;;;;
16;absoudre;;;;;;;;;;;;;;;;;;;absudr;;;;;;;;;;;;;;;absu;;;;;;;;;;;;;;
17;abstenir;;;;;;;;;;;;;;;;;;;;;;abstê;abst6nô;abst6ne;;;;;;;;;;;;abstjê;;;;;;;;;;;;
18;abstraire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abstrE;;;abstrE;;;;;;;
19;abuser;;;;;;;;;;;;abyz6ra;;;;;;abyzE;abyze;;;;;abyze;;;;;;;;;;;abyze;;abyz;;;;;abyze;;;;;;
