;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;abEsE;;;;abEsa;;;;;;;;;;;;abEsE;abEse;;;;;;;;abEs;;;;;;;;;abEs;abEse;;;abEs;;abEse;;abEse;;;;;;
1;abandonner;;abâdOnE;;abâdOna;abâdOnEr;abâdOna;;abâdOn6rE;;;abâdOn6rô;abâdOn6ra;;abâdOnE;;abâdOnE;abâdOnE;abâdOnE;abâdOne;;;;;;abâdOnô;abâdOne;abâdOn;abâdOnâ;;abâdOn6rE;;abâdOn6rE;;abâdOn6rE;;abâdOn;abâdOne;abâdOn;abâdOn;abâdOn;abâdOne;abâdOne;abâdOne;abâdOne;;;;abâdOn;abâdOn;abâdOn
2;abasourdir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abazurdi;;abazurdi;;;;;;
3;abattre;;;;;abatir;abati;;;;;;abatra;;abatE;;;abatE;abatE;abatr;;;;;;;abate;;abatâ;;;;;;abatrE;;aba;;aba;abat;aba;;abaty;abaty;abaty;;abat;;;;abat
4;abdiquer;;;;;;;;;;;;;;;;;;abdikE;;;;;;;;;;;;;;;;;;;;;;abdik;;;;;;;;;;
5;abjurer;;;;;;;;;;;;;;;;;;;abZyre;;;;;;;;;;;;;;;;;abZyr;;;;;;;;abZyre;;;;;;
6;abolir;;;;;;abOli;;;;;;;;;;;;;abOlir;;;;;;;;;abOlisâ;;;;;;;;abOli;;;;;abOli;abOli;;abOli;;;;;;
7;abonder;;;;;;;;;;;;;;;;;abôdE;abôdE;;;;;;;;;;;;;;;;;;abôd;;;abôd;;;;;;;;;;;
8;abonner;;abOnE;;;;;;;;;;;;;;;;;abOne;;;;;;;;;;;;;;;;;;;;;;;abOne;;;;;;;;
9;aborder;;;;;abOrdEr;abOrda;;;;;;;;abOrdE;;;abOrdE;abOrdE;abOrde;;;;;;abOrdô;abOrde;abOrd;abOrdâ;;;;;;;abOrdô;abOrd;;;;abOrd;;abOrde;;abOrde;;;;;;
