;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;abEsE;;;abEsEr;abEsa;;abEs6rE;;;;abEs6ra;;;;abEsE;abEsE;abEsE;abEse;;;;;;;abEsô;abEse;abEs;abEsâ;;abEs6rE;;abEs6rE;abEs6rE;abEs6rE;;abEs;abEse;abEs;abEs;abEs;abEse;abEse;abEse;abEse;;;;;;
1;abandonner;abâdOnam;abâdOnE;;abâdOna;abâdOnEr;abâdOna;abâdOn6rô;abâdOn6rE;abâdOn6re;abâdOn6ra;abâdOn6rô;abâdOn6ra;abâdOnjô;abâdOnE;abâdOnje;abâdOnE;abâdOnE;abâdOnE;abâdOne;;abâdOnas;;;;abâdOna;abâdOnô;abâdOne;abâdOn;abâdOnâ;abâdOn6rjô;abâdOn6rE;abâdOn6rje;abâdOn6rE;abâdOn6rE;abâdOn6rE;abâdOnô;abâdOn;abâdOne;abâdOn;abâdOn;abâdOn;abâdOne;abâdOne;abâdOne;abâdOne;;;;abâdOn;abâdOn;abâdOn
2;abasourdir;;;;;;;;;;;;;;;;;;;abazurdir;;;;;;;;;;;;;;;;;;;;;;;;abazurdi;abazurdi;abazurdi;;;;;;
3;abattre;;abati;;;abatir;abati;abatrô;abatrE;abatre;abatra;abatrô;abatra;abatjô;abatE;abatje;;abatE;abatE;abatr;;;;;;;abatô;abate;aba;abatâ;;abatrE;abatrie;abatrE;abatrE;abatrE;abatô;aba;abate;aba;abat;aba;abaty;abaty;abaty;abaty;;abat;;abat;;abat
4;abdiquer;;abdikE;;;;abdika;;;;;;abdik6ra;;abdikE;;;abdikE;abdikE;abdike;;;;;;;;abdike;abdik;abdikâ;;abdik6rE;;;;abdik6rE;;abdik;abdike;;;abdik;;abdike;;abdike;;;;;;
5;aberrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abErâ;;;;;;;;;;;;;;;;;;;;;;
6;abhorrer;;;;;;;;;;;;;;abOrE;;;;abOrE;abOre;;;;;;;;;;abOrâ;;;;;;;;abOr;abOre;;;abOr;;abOre;abOre;abOre;;;;;;
7;abjurer;;;;;;;;;;;;;;;;;;;abZyre;;;;;;;;abZyre;abZyr;abZyrâ;;;;;;;abZyrô;abZyr;abZyre;;;abZyr;;;;abZyre;;;;;;
8;abolir;;;;;;abOli;;;;abOlira;;abOlira;abOlisjô;abOlisE;;;abOlisE;abOlisE;abOlir;;;;;;;abOlisô;;;abOlisâ;;;;;;abOlirE;abOlisô;abOli;;;abOlis;abOli;abOli;abOli;abOli;abOli;;;;;;
9;abonder;;abôdE;;;;abôda;;;;;;;;abôdE;;;abôdE;abôdE;abôde;;;;;abôdas;;;;;abôdâ;;;;;;;;abôd;;;abôd;abôd;;;;;;;;;;
10;abonner;;abOnE;;;;;;;;;;;;;;;;;abOne;;;;;;abOna;;abOne;abOn;abOnâ;;;;;;;;abOn;abOne;;;abOn;abOne;abOne;abOne;abOne;;;;;;
11;aborder;abOrdam;abOrdE;;;abOrdEr;abOrda;abOrd6rô;abOrd6rE;;;abOrd6rô;abOrd6ra;abOrdjô;abOrdE;abOrdje;;abOrdE;abOrdE;abOrde;;;;;;;abOrdô;abOrde;abOrd;abOrdâ;abOrd6rjô;abOrd6rE;abOrd6rje;;abOrd6rE;abOrd6rE;abOrdô;abOrd;abOrde;abOrd;abOrd;abOrd;abOrde;abOrde;abOrde;abOrde;;;;;;
12;aboucher;;;;;;;;;;;;;;abuSE;;;abuSE;abuSE;abuSe;;;;;;;;;;abuSâ;;;;;;;;;;;;;;abuSe;abuSe;abuSe;;;;;;
13;abouler;;;;;;;;;;;;;;;;;;;abule;;;;;;;;abule;abul;;;;;;;;;;;abul;;abul;;;;;;;;;;
14;abouter;;;;;;;;;;;;;;;;;;abutE;;;;;;;;abutô;;;;;;;;;;;;;;;;;;;;;;;;;
15;aboutir;abutim;abuti;;;abutir;abuti;abutirô;abutirE;;abutira;abutirô;abutira;abutisjô;;abutisje;;abutisE;abutisE;abutir;;;;;abutis;;;;;abutisâ;;abutirE;;;abutirE;abutirE;;abuti;abutise;abuti;abutis;abuti;;;;;;abutis;;;;abutis
16;aboyer;;;;;abwajEr;abwaja;;;;;abwarô;abwara;;;;;abwajE;abwajE;abwaje;;;;;;;;;abwa;abwajâ;;;;;;abwarE;abwajô;abwa;;abwa;abwa;abwa;;;;;;;;;;
17;abraser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abraze;;;;;;
18;abreuver;;;;;;abr6va;;;;;;abr6v6ra;;;;;abr6vE;abr6vE;abr6ve;;;;;;;abr6vô;abr6ve;abr9v;abr6vâ;;;;;abr6v6rE;;;abr9v;abr6ve;;abr9v;abr9v;;abr6ve;abr6ve;abr6ve;;;;;;
19;abricoter;;;;;;;;;;;;;;;;;;;;;;;;;;;abrikOte;;;;;;;;;;;;;;;;;;;;;;;;
20;abriter;abritam;abritE;;;abritEr;abrita;abrit6rô;;;;abrit6rô;abrit6ra;abritjô;abritE;abritje;;abritE;abritE;abrite;;;;;;;abritô;abrite;abrit;abritâ;;;;;;abrit6rE;abritô;abrit;abrite;abrit;abrit;abrit;abrite;abrite;abrite;abrite;;;;;;
21;abroger;;;;;;;;;;;abrOZ6rô;;;;;;;;abrOZe;;;;;;;;;;;;;;;;;;;;;abrOZ;;abrOZe;abrOZe;abrOZe;abrOZe;;;;;;
22;abrutir;;;;;;abryti;;;;;;abrytira;abrytisjô;abrytisE;;;abrytisE;abrytisE;abrytir;;;;;;;;;abryti;abrytisâ;;;;;;;;abryti;;abryti;abrytis;abryti;abryti;abryti;abryti;abryti;;;;;;
23;abréger;;abrEZE;;;;abrEZa;;abrEZ6rE;;;;abrEZ6ra;;;;;abrEZE;abrEZE;abrEZe;;;;;;abrEZa;abrEZô;abrEZe;abrEZ;abrEZâ;;;;;;abrEZ6rE;;abrEZ;;;abrEZ;abrEZ;;abrEZe;;abrEZe;;;;;;
24;absenter;;absâtE;;;absâtEr;absâta;;absât6rE;;;;absât6ra;;absâtE;;absâtE;absâtE;absâtE;absâte;;;;;;;;;;absâtâ;;;;;;absât6rE;;absât;;absât;;absât;;absâte;absâte;absâte;;;;;;absât
25;absorber;;absOrbE;;;absOrbEr;absOrba;;absOrb6rE;;;;absOrb6ra;absOrbjô;absOrbE;;;absOrbE;absOrbE;absOrbe;;;;;;;;absOrbe;absOrb;absOrbâ;;;;;absOrb6rE;absOrb6rE;absOrbô;absOrb;absOrbe;;absOrb;absOrb;absOrbe;absOrbe;absOrbe;absOrbe;;;absOrbje;;;
26;absoudre;;;;;;;;absudrE;;;;;;;;;absOlvE;absOlvE;absudr;;;;;;;;;absu;;;;absudrie;;;absudrE;;absu;;;absOlv;absu;absut;absut;;;;;;absOlv;;absOlv
