;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;abEsam;abEsE;abEsat;abEsa;abEsEr;abEsa;abEs6rô;abEs6rE;abEs6re;abEs6ra;abEs6rô;abEs6ra;abEsjô;abEsE;abEsje;abEsE;abEsE;abEsE;abEse;abEsasjô;abEsas;abEsasje;abEsas;abEsas;abEsa;abEsô;abEse;abEs;abEsâ;abEs6rjô;abEs6rE;abEs6rje;abEs6rE;abEs6rE;abEs6rE;abEsô;abEs;abEse;abEs;abEs;abEs;abEse;abEse;abEse;abEse;abEsjô;abEs;abEsje;abEs;abEs;abEs
1;abandonner;abâdOnam;abâdOnE;abâdOnat;abâdOna;abâdOnEr;abâdOna;abâdOn6rô;abâdOn6rE;abâdOn6re;abâdOn6ra;abâdOn6rô;abâdOn6ra;abâdOnjô;abâdOnE;abâdOnje;abâdOnE;abâdOnE;abâdOnE;abâdOne;abâdOnasjô;abâdOnas;abâdOnasje;abâdOnas;abâdOnas;abâdOna;abâdOnô;abâdOne;abâdOn;abâdOnâ;abâdOn6rjô;abâdOn6rE;abâdOn6rje;abâdOn6rE;abâdOn6rE;abâdOn6rE;abâdOnô;abâdOn;abâdOne;abâdOn;abâdOn;abâdOn;abâdOne;abâdOne;abâdOne;abâdOne;abâdOnjô;abâdOn;abâdOnje;abâdOn;abâdOn;abâdOn
2;abasourdir;abazurdim;abazurdi;abazurdit;abazurdi;abazurdir;abazurdi;abazurdirô;abazurdirE;abazurdire;abazurdira;abazurdirô;abazurdira;abazurdisjô;abazurdisE;abazurdisje;abazurdisE;abazurdisE;abazurdisE;abazurdir;abazurdisjô;abazurdis;abazurdisje;abazurdis;abazurdis;abazurdi;abazurdisô;abazurdise;abazurdi;abazurdisâ;abazurdirjô;abazurdirE;abazurdirje;abazurdirE;abazurdirE;abazurdirE;abazurdisô;abazurdi;abazurdise;abazurdi;abazurdis;abazurdi;abazurdi;abazurdi;abazurdi;abazurdi;abazurdisjô;abazurdis;abazurdisje;abazurdis;abazurdis;abazurdis
3;abattre;abatim;abati;abatit;abati;abatir;abati;abatrô;abatrE;abatre;abatra;abatrô;abatra;abatjô;abatE;abatje;abatE;abatE;abatE;abatr;abatisjô;abatis;abatisje;abatis;abatis;abati;abatô;abate;aba;abatâ;abatriô;abatrE;abatrie;abatrE;abatrE;abatrE;abatô;aba;abate;aba;abat;aba;abaty;abaty;abaty;abaty;abatjô;abat;abatje;abat;abat;abat
4;abcéder;absEdam;absEdE;absEdat;absEda;absEdEr;absEda;absEd6rô;absEd6rE;absEd6re;absEd6ra;absEd6rô;absEd6ra;absEdjô;absEdE;absEdje;absEdE;absEdE;absEdE;absEde;absEdasjô;absEdas;absEdasje;absEdas;absEdas;absEda;absEdô;absEde;absEd;absEdâ;absEd6rjô;absEd6rE;absEd6rje;absEd6rE;absEd6rE;absEd6rE;absEdô;absEd;absEde;absEd;absEd;absEd;;;;absEde;absEdjô;absEd;absEdje;absEd;absEd;absEd
5;abdiquer;abdikam;abdikE;abdikat;abdika;abdikEr;abdika;abdik6rô;abdik6rE;abdik6re;abdik6ra;abdik6rô;abdik6ra;abdikjô;abdikE;abdikje;abdikE;abdikE;abdikE;abdike;abdikasjô;abdikas;abdikasje;abdikas;abdikas;abdika;abdikô;abdike;abdik;abdikâ;abdik6rjô;abdik6rE;abdik6rje;abdik6rE;abdik6rE;abdik6rE;abdikô;abdik;abdike;abdik;abdik;abdik;abdike;abdike;abdike;abdike;abdikjô;abdik;abdikje;abdik;abdik;abdik
6;abecquer;abEkam;abEkE;abEkat;abEka;abEkEr;abEka;abEk6rô;abEk6rE;abEk6re;abEk6ra;abEk6rô;abEk6ra;abEkjô;abEkE;abEkje;abEkE;abEkE;abEkE;abEke;abEkasjô;abEkas;abEkasje;abEkas;abEkas;abEka;abEkô;abEke;abEk;abEkâ;abEk6rjô;abEk6rE;abEk6rje;abEk6rE;abEk6rE;abEk6rE;abEkô;abEk;abEke;abEk;abEk;abEk;abEke;abEke;abEke;abEke;abEkjô;abEk;abEkje;abEk;abEk;abEk
7;aberrer;abEram;abErE;abErat;abEra;abErEr;abEra;abEr6rô;abEr6rE;abEr6re;abEr6ra;abEr6rô;abEr6ra;abErjô;abErE;abErje;abErE;abErE;abErE;abEre;abErasjô;abEras;abErasje;abEras;abEras;abEra;abErô;abEre;abEr;abErâ;abEr6rjô;abEr6rE;abEr6rje;abEr6rE;abEr6rE;abEr6rE;abErô;abEr;abEre;abEr;abEr;abEr;;;;abEre;abErjô;abEr;abErje;abEr;abEr;abEr
8;abhorrer;abOram;abOrE;abOrat;abOra;abOrEr;abOra;abOr6rô;abOr6rE;abOr6re;abOr6ra;abOr6rô;abOr6ra;abOrjô;abOrE;abOrje;abOrE;abOrE;abOrE;abOre;abOrasjô;abOras;abOrasje;abOras;abOras;abOra;abOrô;abOre;abOr;abOrâ;abOr6rjô;abOr6rE;abOr6rje;abOr6rE;abOr6rE;abOr6rE;abOrô;abOr;abOre;abOr;abOr;abOr;abOre;abOre;abOre;abOre;abOrjô;abOr;abOrje;abOr;abOr;abOr
9;abjurer;abZyram;abZyrE;abZyrat;abZyra;abZyrEr;abZyra;abZyr6rô;abZyr6rE;abZyr6re;abZyr6ra;abZyr6rô;abZyr6ra;abZyrjô;abZyrE;abZyrje;abZyrE;abZyrE;abZyrE;abZyre;abZyrasjô;abZyras;abZyrasje;abZyras;abZyras;abZyra;abZyrô;abZyre;abZyr;abZyrâ;abZyr6rjô;abZyr6rE;abZyr6rje;abZyr6rE;abZyr6rE;abZyr6rE;abZyrô;abZyr;abZyre;abZyr;abZyr;abZyr;abZyre;abZyre;abZyre;abZyre;abZyrjô;abZyr;abZyrje;abZyr;abZyr;abZyr
10;ablater;ablatam;ablatE;ablatat;ablata;ablatEr;ablata;ablat6rô;ablat6rE;ablat6re;ablat6ra;ablat6rô;ablat6ra;ablatjô;ablatE;ablatje;ablatE;ablatE;ablatE;ablate;ablatasjô;ablatas;ablatasje;ablatas;ablatas;ablata;ablatô;ablate;ablat;ablatâ;ablat6rjô;ablat6rE;ablat6rje;ablat6rE;ablat6rE;ablat6rE;ablatô;ablat;ablate;ablat;ablat;ablat;ablate;ablate;ablate;ablate;ablatjô;ablat;ablatje;ablat;ablat;ablat
11;ablatir;ablatim;ablati;ablatit;ablati;ablatir;ablati;ablatirô;ablatirE;ablatire;ablatira;ablatirô;ablatira;ablatisjô;ablatisE;ablatisje;ablatisE;ablatisE;ablatisE;ablatir;ablatisjô;ablatis;ablatisje;ablatis;ablatis;ablati;ablatisô;ablatise;ablati;ablatisâ;ablatirjô;ablatirE;ablatirje;ablatirE;ablatirE;ablatirE;ablatisô;ablati;ablatise;ablati;ablatis;ablati;ablati;ablati;ablati;ablati;ablatisjô;ablatis;ablatisje;ablatis;ablatis;ablatis
12;abloquer;ablOkam;ablOkE;ablOkat;ablOka;ablOkEr;ablOka;ablOk6rô;ablOk6rE;ablOk6re;ablOk6ra;ablOk6rô;ablOk6ra;ablOkjô;ablOkE;ablOkje;ablOkE;ablOkE;ablOkE;ablOke;ablOkasjô;ablOkas;ablOkasje;ablOkas;ablOkas;ablOka;ablOkô;ablOke;ablOk;ablOkâ;ablOk6rjô;ablOk6rE;ablOk6rje;ablOk6rE;ablOk6rE;ablOk6rE;ablOkô;ablOk;ablOke;ablOk;ablOk;ablOk;ablOke;ablOke;ablOke;ablOke;ablOkjô;ablOk;ablOkje;ablOk;ablOk;ablOk
13;abolir;abOlim;abOli;abOlit;abOli;abOlir;abOli;abOlirô;abOlirE;abOlire;abOlira;abOlirô;abOlira;abOlisjô;abOlisE;abOlisje;abOlisE;abOlisE;abOlisE;abOlir;abOlisjô;abOlis;abOlisje;abOlis;abOlis;abOli;abOlisô;abOlise;abOli;abOlisâ;abOlirjô;abOlirE;abOlirje;abOlirE;abOlirE;abOlirE;abOlisô;abOli;abOlise;abOli;abOlis;abOli;abOli;abOli;abOli;abOli;abOlisjô;abOlis;abOlisje;abOlis;abOlis;abOlis
14;abonder;abôdam;abôdE;abôdat;abôda;abôdEr;abôda;abôd6rô;abôd6rE;abôd6re;abôd6ra;abôd6rô;abôd6ra;abôdjô;abôdE;abôdje;abôdE;abôdE;abôdE;abôde;abôdasjô;abôdas;abôdasje;abôdas;abôdas;abôda;abôdô;abôde;abôd;abôdâ;abôd6rjô;abôd6rE;abôd6rje;abôd6rE;abôd6rE;abôd6rE;abôdô;abôd;abôde;abôd;abôd;abôd;;;;abôde;abôdjô;abôd;abôdje;abôd;abôd;abôd
15;abonner;abOnam;abOnE;abOnat;abOna;abOnEr;abOna;abOn6rô;abOn6rE;abOn6re;abOn6ra;abOn6rô;abOn6ra;abOnjô;abOnE;abOnje;abOnE;abOnE;abOnE;abOne;abOnasjô;abOnas;abOnasje;abOnas;abOnas;abOna;abOnô;abOne;abOn;abOnâ;abOn6rjô;abOn6rE;abOn6rje;abOn6rE;abOn6rE;abOn6rE;abOnô;abOn;abOne;abOn;abOn;abOn;abOne;abOne;abOne;abOne;abOnjô;abOn;abOnje;abOn;abOn;abOn
16;abonnir;abOnim;abOni;abOnit;abOni;abOnir;abOni;abOnirô;abOnirE;abOnire;abOnira;abOnirô;abOnira;abOnisjô;abOnisE;abOnisje;abOnisE;abOnisE;abOnisE;abOnir;abOnisjô;abOnis;abOnisje;abOnis;abOnis;abOni;abOnisô;abOnise;abOni;abOnisâ;abOnirjô;abOnirE;abOnirje;abOnirE;abOnirE;abOnirE;abOnisô;abOni;abOnise;abOni;abOnis;abOni;abOni;abOni;abOni;abOni;abOnisjô;abOnis;abOnisje;abOnis;abOnis;abOnis
17;aborder;abOrdam;abOrdE;abOrdat;abOrda;abOrdEr;abOrda;abOrd6rô;abOrd6rE;abOrd6re;abOrd6ra;abOrd6rô;abOrd6ra;abOrdjô;abOrdE;abOrdje;abOrdE;abOrdE;abOrdE;abOrde;abOrdasjô;abOrdas;abOrdasje;abOrdas;abOrdas;abOrda;abOrdô;abOrde;abOrd;abOrdâ;abOrd6rjô;abOrd6rE;abOrd6rje;abOrd6rE;abOrd6rE;abOrd6rE;abOrdô;abOrd;abOrde;abOrd;abOrd;abOrd;abOrde;abOrde;abOrde;abOrde;abOrdjô;abOrd;abOrdje;abOrd;abOrd;abOrd
