,pi1S,pi2S,pi3S,pi1P,pi2P,pi3P,ii1S,ii2S,ii3S,ii1P,ii2P,ii3P,fi1S,fi2S,fi3S,fi1P,fi2P,fi3P,pc1S,pc2S,pc3S,pc1P,pc2P,pc3P,ps1S,ps2S,ps3S,ps1P,ps2P,ps3P,ai1S,ai2S,ai3S,ai1P,ai2P,ai3P,is1S,is2S,is3S,is1P,is2P,is3P,pI2S,pI1P,pI2P,inf,pP,ppMS,ppMP,ppFS,ppFP
abaisser,abEs,abEs,abEs,abEsô,abEsE,abEs,abEsE,abEsE,abEsE,abEsjô,abEsjE,abEsE,abEs9rE,abEs9ra,abEs9ra,abEs9rô,abEs9rE,abEs9rô,abEs9rE,abEs9rE,abEs9rE,abEs9rjô,abEs9rjE,abEs9rE,abEs,abEs,abEs,abEsjô,abEsjE,abEs,abEsE,abEsa,abEsa,abEsam,abEsat,abEsEr,,,abEsa,,,,abEs,abEsô,abEsE,abEsE,abEsâ,abEsE,abEsE,abEsE,abEsE
abandonner,abâdOn,abâdOn,abâdOn,abâdOnô,abâdOnE,abâdOn,abâdOnE,abâdOnE,abâdOnE,abâdOnjô,abâdOnjE,abâdOnE,abâdOn9rE,abâdOn9ra,abâdOn9ra,abâdOn9rô,abâdOn9rE,abâdOn9rô,abâdOn9rE,abâdOn9rE,abâdOn9rE,abâdOn9rjô,abâdOn9rjE,abâdOn9rE,abâdOn,abâdOn,abâdOn,abâdOnjô,abâdOnjE,abâdOn,abâdOnE,abâdOna,abâdOna,abâdOnam,abâdOnat,abâdOnEr,,,abâdOna,,abâdOnEsjE,,abâdOn,abâdOnô,abâdOnE,abâdOnE,abâdOnâ,abâdOnE,abâdOnE,abâdOnE,abâdOnE
abasourdir,abazurdi,abazurdi,abazurdi,abazurdisô,abazurdisE,abazurdis,abazurdisE,abazurdisE,abazurdisE,abazurdisjô,abazurdisjE,abazurdisE,abazurdirE,abazurdira,abazurdira,abazurdirô,abazurdirE,abazurdirô,abazurdirE,abazurdirE,abazurdirE,abazurdirjô,abazurdirjE,abazurdirE,abazurdis,abazurdis,abazurdis,abazurdisjô,abazurdisjE,abazurdis,abazurdi,abazurdi,abazurdi,abazurdim,abazurdit,abazurdir,abazurdis,abazurdis,abazurdi,abazurdisjô,abazurdisjE,,abazurdi,abazurdisô,abazurdisE,abazurdir,abazurdisâ,abazurdi,abazurdi,abazurdi,abazurdi
abattre,aba,aba,aba,abatô,abatE,abat,abatE,abatE,abatE,abatjô,abatjE,abatE,abatrE,abatra,abatra,abatrô,abatrE,abatrô,abatrE,abatrE,abatrE,abatrijô,abatrijE,abatrE,abat,abat,abat,abatjô,abatjE,abat,abati,abati,abati,abatim,abatit,abatir,abatis,abatis,abati,abatisjô,abatisjE,,aba,abatô,abatE,abatr,abatâ,abaty,abaty,abaty,abaty
abdiquer,abdik,abdik,abdik,abdikô,abdikE,abdik,abdikE,abdikE,abdikE,abdikjô,abdikjE,abdikE,abdik9rE,abdik9ra,abdik9ra,abdik9rô,abdik9rE,abdik9rô,abdik9rE,abdik9rE,abdik9rE,abdik9rjô,abdik9rjE,abdik9rE,abdik,abdik,abdik,abdikjô,abdikjE,abdik,abdikE,abdika,abdika,abdikam,abdikat,abdikEr,,,abdika,,,,abdik,abdikô,abdikE,abdikE,abdikâ,abdikE,abdikE,abdikE,abdikE
abhorrer,abOr,abOr,abOr,abOrô,abOrE,abOr,abOrE,abOrE,abOrE,abOrjô,abOrjE,abOrE,abOr9rE,abOr9ra,abOr9ra,abOr9rô,abOr9rE,abOr9rô,abOr9rE,abOr9rE,abOr9rE,abOr9rjô,abOr9rjE,abOr9rE,abOr,abOr,abOr,abOrjô,abOrjE,abOr,abOrE,abOra,abOra,abOram,,abOrEr,,,abOra,,,,abOr,abOrô,abOrE,abOrE,abOrâ,abOrE,abOrE,abOrE,abOrE
abjurer,abZyr,abZyr,abZyr,abZyrô,abZyrE,abZyr,abZyrE,abZyrE,abZyrE,abZyrjô,abZyrjE,abZyrE,abZyr9rE,abZyr9ra,abZyr9ra,abZyr9rô,abZyr9rE,abZyr9rô,abZyr9rE,abZyr9rE,abZyr9rE,abZyr9rjô,abZyr9rjE,abZyr9rE,abZyr,abZyr,abZyr,abZyrjô,abZyrjE,abZyr,abZyrE,abZyra,abZyra,abZyram,,abZyrEr,,,abZyra,,,,abZyr,abZyrô,abZyrE,abZyrE,abZyrâ,abZyrE,abZyrE,abZyrE,abZyrE
abolir,abOli,abOli,abOli,abOlisô,abOlisE,abOlis,abOlisE,abOlisE,abOlisE,abOlisjô,abOlisjE,abOlisE,abOlirE,abOlira,abOlira,abOlirô,abOlirE,abOlirô,abOlirE,abOlirE,abOlirE,abOlirjô,abOlirjE,abOlirE,abOlis,abOlis,abOlis,abOlisjô,abOlisjE,abOlis,abOlisE,abOli,abOli,abOlisam,abOlit,abOlir,abOlis,abOlis,abOli,abOlisjô,abOlisjE,,abOli,abOlisô,abOlisE,abOlir,abOlisâ,abOli,abOli,abOli,abOli
abominer,abOmin,abOmin,abOmin,abOminô,abOminE,abOmin,abOminE,abOminE,abOminE,abOminjô,abOminjE,abOminE,abOmin9rE,abOmin9ra,abOmin9ra,abOmin9rô,abOmin9rE,abOmin9rô,abOmin9rE,abOmin9rE,abOmin9rE,abOmin9rjô,abOmin9rjE,abOmin9rE,abOmin,abOmin,abOmin,abOminjô,abOminjE,abOmin,abOminE,abOmina,abOmina,abOminam,,abOminEr,,,abOmina,,,,abOmin,abOminô,abOminE,abOminE,abOminâ,abOminE,abOminE,abOminE,abOminE
abonder,abôd,abôd,abôd,abôdô,abôdE,abôd,abôdE,abôdE,abôdE,abôdjô,abôdjE,abôdE,abôd9rE,abôd9ra,abôd9ra,abôd9rô,abôd9rE,abôd9rô,abôd9rE,abôd9rE,abôd9rE,abôd9rjô,abôd9rjE,abôd9rE,abôd,abôd,abôd,abôdjô,abôdjE,abôd,abôdE,abôda,abôda,abôdam,,abôdEr,,,abôda,,,,abôd,abôdô,abôdE,abôdE,abôdâ,abôdE,abôdE,abôdE,abôdE
abonner,abOn,abOn,abOn,abOnô,abOnE,abOn,abOnE,abOnE,abOnE,abOnjô,abOnjE,abOnE,abOn9rE,abOn9ra,abOn9ra,abOn9rô,abOn9rE,abOn9rô,abOn9rE,abOn9rE,abOn9rE,abOn9rjô,abOn9rjE,abOn9rE,abOn,abOn,abOn,abOnjô,abOnjE,abOn,abOnE,abOna,abOna,abOnam,abOnat,abOnEr,,,abOna,,,,abOn,abOnô,abOnE,abOnE,abOnâ,abOnE,abOnE,abOnE,abOnE
aborder,abOrd,abOrd,abOrd,abOrdô,abOrdE,abOrd,abOrdE,abOrdE,abOrdE,abOrdjô,abOrdjE,abOrdE,abOrd9rE,abOrd9ra,abOrd9ra,abOrd9rô,abOrd9rE,abOrd9rô,abOrd9rE,abOrd9rE,abOrd9rE,abOrd9rjô,abOrd9rjE,abOrd9rE,abOrd,abOrd,abOrd,abOrdjô,abOrdjE,abOrd,abOrdE,abOrda,abOrda,abOrdam,abOrdat,abOrdEr,,,abOrda,,abOrdEsjE,,abOrd,abOrdô,abOrdE,abOrdE,abOrdâ,abOrdE,abOrdE,abOrdE,abOrdE
abouler,abul,abul,abul,abulô,abulE,abul,abulE,abulE,abulE,abuljô,abuljE,abulE,abul9rE,abul9ra,abul9ra,abul9rô,abul9rE,abul9rô,abul9rE,abul9rE,abul9rE,abul9rjô,abul9rjE,abul9rE,abul,abul,abul,abuljô,abuljE,abul,abulE,abula,abula,abulam,,abulEr,,,abula,,,,abul,abulô,abulE,abulE,abulâ,abulE,abulE,abulE,abulE
aboutir,abuti,abuti,abuti,abutisô,abutisE,abutis,abutisE,abutisE,abutisE,abutisjô,abutisjE,abutisE,abutirE,abutira,abutira,abutirô,abutirE,abutirô,abutirE,abutirE,abutirE,abutirjô,abutirjE,abutirE,abutis,abutis,abutis,abutisjô,abutisjE,abutis,abuti,abuti,abuti,abutim,abutit,abutir,abutis,abutis,abuti,abutisjô,abutisjE,,abuti,abutisô,abutisE,abutir,abutisâ,abuti,abuti,abuti,abuti
aboyer,abwa,abwa,abwa,abwajô,abwajE,abwa,abwajE,abwajE,abwajE,abwajô,abwajE,abwajE,abwarE,abwara,abwara,abwarô,abwarE,abwarô,abwarE,abwarE,abwarE,abwarjô,abwarjE,abwarE,abwa,abwa,abwa,abwajô,abwajE,abwa,abwajE,abwaja,abwaja,abwajam,abwajat,abwajEr,,,abwaja,,,,abwa,abwajô,abwajE,abwajE,abwajâ,abwajE,abwajE,abwajE,abwajE
abreuver,abr9v,abr9v,abr9v,abr9vô,abr9vE,abr9v,abr9vE,abr9vE,abr9vE,abr9vjô,abr9vjE,abr9vE,abr9v9rE,abr9v9ra,abr9v9ra,abr9v9rô,abr9v9rE,abr9v9rô,abr9v9rE,abr9v9rE,abr9v9rE,abr9v9rjô,abr9v9rjE,abr9v9rE,abr9v,abr9v,abr9v,abr9vjô,abr9vjE,abr9v,abr9vE,abr9va,abr9va,abr9vam,,abr9vEr,,,abr9va,,,,abr9v,abr9vô,abr9vE,abr9vE,abr9vâ,abr9vE,abr9vE,abr9vE,abr9vE
abriter,abrit,abrit,abrit,abritô,abritE,abrit,abritE,abritE,abritE,abritjô,abritjE,abritE,abrit9rE,abrit9ra,abrit9ra,abrit9rô,abrit9rE,abrit9rô,abrit9rE,abrit9rE,abrit9rE,abrit9rjô,abrit9rjE,abrit9rE,abrit,abrit,abrit,abritjô,abritjE,abrit,abritE,abrita,abrita,abritam,abritat,abritEr,,,abrita,,,,abrit,abritô,abritE,abritE,abritâ,abritE,abritE,abritE,abritE
abroger,abrOZ,abrOZ,abrOZ,abrOZô,abrOZE,abrOZ,abrOZE,abrOZE,abrOZE,abrOZjô,abrOZjE,abrOZE,abrOZ9rE,abrOZ9ra,abrOZ9ra,abrOZ9rô,abrOZ9rE,abrOZ9rô,abrOZ9rE,abrOZ9rE,abrOZ9rE,abrOZ9rjô,abrOZ9rjE,abrOZ9rE,abrOZ,abrOZ,abrOZ,abrOZjô,abrOZjE,abrOZ,abrOZE,abrOZa,abrOZa,abrOZam,,abrOZEr,,,abrOZa,,,,abrOZ,abrOZô,abrOZE,abrOZE,abrOZâ,abrOZE,abrOZE,abrOZE,abrOZE
abrutir,abryti,abryti,abryti,abrytisô,abrytisE,abrytis,abrytisE,abrytisE,abrytisE,abrytisjô,abrytisjE,abrytisE,abrytirE,abrytira,abrytira,abrytirô,abrytirE,abrytirô,abrytirE,abrytirE,abrytirE,abrytirjô,abrytirjE,abrytirE,abrytis,abrytis,abrytis,abrytisjô,abrytisjE,abrytis,abryti,abryti,abryti,abrytim,abrytit,abrytir,abrytis,abrytis,abryti,abrytisjô,abrytisjE,,abryti,abrytisô,abrytisE,abrytir,abrytisâ,abryti,abryti,abryti,abryti
abréger,abrEZ,abrEZ,abrEZ,abrEZô,abrEZE,abrEZ,abrEZE,abrEZE,abrEZE,abrEZjô,abrEZjE,abrEZE,abrEZ9rE,abrEZ9ra,abrEZ9ra,abrEZ9rô,abrEZ9rE,abrEZ9rô,abrEZ9rE,abrEZ9rE,abrEZ9rE,abrEZ9rjô,abrEZ9rjE,abrEZ9rE,abrEZ,abrEZ,abrEZ,abrEZjô,abrEZjE,abrEZ,abrEZE,abrEZa,abrEZa,abrEZam,,abrEZEr,,,abrEZa,,,,abrEZ,abrEZô,abrEZE,abrEZE,abrEZâ,abrEZE,abrEZE,abrEZE,abrEZE
absenter,apsât,apsât,apsât,apsâtô,apsâtE,apsât,apsâtE,apsâtE,apsâtE,apsâtjô,apsâtjE,apsâtE,apsât9rE,apsât9ra,apsât9ra,apsât9rô,apsât9rE,apsât9rô,apsât9rE,apsât9rE,apsât9rE,apsât9rjô,apsât9rjE,apsât9rE,apsât,apsât,apsât,apsâtjô,apsâtjE,apsât,apsâtE,apsâta,apsâta,apsâtam,,apsâtEr,,,apsâta,,,,apsât,apsâtô,apsâtE,apsâtE,apsâtâ,apsâtE,apsâtE,apsâtE,apsâtE
absorber,apsOrb,apsOrb,apsOrb,apsOrbô,apsOrbE,apsOrb,apsOrbE,apsOrbE,apsOrbE,apsOrbjô,apsOrbjE,apsOrbE,apsOrb9rE,apsOrb9ra,apsOrb9ra,apsOrb9rô,apsOrb9rE,apsOrb9rô,apsOrb9rE,apsOrb9rE,apsOrb9rE,apsOrb9rjô,apsOrb9rjE,apsOrb9rE,apsOrb,apsOrb,apsOrb,apsOrbjô,apsOrbjE,apsOrb,apsOrbE,apsOrba,apsOrba,apsOrbam,apsOrbat,apsOrbEr,,,apsOrba,,,,apsOrb,apsOrbô,apsOrbE,apsOrbE,apsOrbâ,apsOrbE,apsOrbE,apsOrbE,apsOrbE
absoudre,apsu,apsu,apsu,apsudô,apsudE,apsud,apsudE,apsudE,apsudE,apsudjô,apsudjE,apsudE,apsudrE,apsudra,apsudra,apsudrô,apsudrE,apsurô,apsudrE,apsudrE,apsudrE,apsudrijô,apsudrijE,apsurE,apsOlv,apsOlv,apsOlv,apsudjô,apsudjE,apsOlv,apsudi,apsudi,apsudi,,,apsudir,,,apsudi,,,,apsu,apsudô,apsOlvE,apsudr,apsudâ,apsu,apsu,apswE,apswE
