Subparadigm,known,correctG,wrongG,missingG,totalG,correctP,wrongP,missingP,correctN,wrongN,missingN,totalN,pTotalG,pTotalN
Infinitif,3955,240,12,0,252,272,14,2,32,2,2,36,87.5%,12.5%
Participe présent,1875,1522,23,1,1546,2316,44,3,794,21,2,817,65.4%,34.6%
Participe passé,9990,4115,57,2,4174,6839,111,4,2724,54,2,2780,60.0%,40.0%
Indicatif présent,12289,7814,107,2,7923,12885,213,10,5071,106,8,5185,60.4%,39.6%
Impératif,4476,4261,51,6,4318,8076,126,11,3815,75,5,3895,52.6%,47.4%
Subjonctif présent,4913,7614,150,2,7766,19773,612,102,12159,462,100,12721,37.9%,62.1%
Imparfait,5486,7697,91,7,7795,19289,489,112,11592,398,105,12095,39.2%,60.8%
Futur,5801,7903,198,12,8113,19156,543,51,11253,345,39,11637,41.1%,58.9%
Conditionnel,3198,6361,154,4,6519,21503,761,96,15142,607,92,15841,29.2%,70.8%
Passé simple,1449,3439,248,73,3760,16403,1061,6409,12964,813,6336,20113,15.8%,84.2%
Subjonctif imparfait,53,263,108,136,507,2221,4749,18288,1958,4641,18152,24751,2.0%,98.0%
