3_lemme;freq;verbe
abordable;0.67;aborder
absorbable;0.07;absorber
acceptable;8.36;accepter
accessible;7.8;accéder
achetable;0.14;acheter
adaptable;0.3;adapter
admirable;38.07;admirer
admissible;1.1;admettre
adoptable;0.07;adopter
adorable;33.91;adorer
agréable;76.26;agréer
aimable;52.66;aimer
ajustable;0.15;ajuster
altérable;0.01;altérer
amnistiable;0.07;amnistier
améliorable;0.07;améliorer
applicable;1.32;appliquer
appréciable;3.64;apprécier
assimilable;0.57;assimiler
assurable;0.01;assurer
attaquable;0.01;attaquer
atteignable;0.01;atteindre
attribuable;0.03;attribuer
audible;3.0;ouïr
avouable;1.1;avouer
baisable;0.57;baiser
biodégradable;0.23;biodégrader
blâmable;0.45;blâmer
bouffable;0.03;bouffer
buvable;0.89;boire
calculable;0.07;calculer
carrossable;0.68;carrosser
cassable;0.23;casser
cernable;0.07;cerner
chiffrable;0.01;chiffrer
cicatrisable;0.07;cicatriser
classable;0.14;classer
classifiable;0.07;classifier
commensurable;0.14;commensurer
commercialisable;0.02;commercialiser
communicable;0.15;communiquer
comparable;8.12;comparer
compressible;0.15;compresser
compréhensible;7.5;comprendre
comptable;6.79;compter
concevable;3.05;concevoir
conciliable;0.34;concilier
condamnable;1.32;condamner
confortable;28.99;conforter
connaissable;0.22;connaître
considérable;23.93;considérer
consommable;0.64;consommer
consultable;0.07;consulter
consumable;0.07;consumer
contestable;1.95;contester
contrôlable;0.26;contrôler
convenable;22.18;convenir
convertible;0.58;convertir
convocable;0.01;convoquer
copiable;0.01;copier
corruptible;0.2;corrompre
coupable;74.42;couper
critiquable;0.09;critiquer
croyable;11.36;croire
cultivable;0.46;cultiver
curable;0.33;curer
damnable;0.21;damner
datable;0.07;dater
descriptible;0.27;décrire
destructible;0.03;détruire
dicible;0.07;dire
différenciable;0.07;différencier
digestible;0.07;digérer
dilatable;0.14;dilater
dirigeable;0.4;diriger
discernable;0.49;discerner
discutable;1.8;discuter
dispensable;0.01;dispenser
disponible;25.16;disposer
dissimulable;0.07;dissimuler
divisible;0.5;diviser
durable;8.09;durer
décapotable;3.33;décapoter
décelable;0.24;déceler
déchiffrable;0.49;déchiffrer
décomposable;0.07;décomposer
dédaignable;0.07;dédaigner
déductible;0.56;déduire
défectible;0.07;défecter
défendable;0.4;défendre
définissable;0.21;définir
dégradable;0.01;dégrader
délectable;2.86;délecter
démontable;1.0;démonter
démontrable;0.03;démontrer
dénombrable;0.07;dénombrer
dépliable;0.07;déplier
