	1.01	1.02	1.03	1.04	1.05	1.06	1.07	1.08	1.09	1.1	1.11	1.12	1.13	1.14	1.15	1.16	1.17	1.18	1.19	1.2
100000	3947	4309	4597	4927	5006	5314	5414	5439	5600	5522	5445	5225	5216	5192	4967	4746	4522	4644	4454	4250
200000	6759	7369	7855	8234	8476	8793	8984	9083	9023	9072	8949	8578	8639	8278	8031	7822	7590	7381	7086	6906
300000	9138	9787	10532	10894	11384	11656	11974	12017	11888	11730	11463	11505	11177	11136	10608	10359	10045	9609	9245	9044
400000	11187	12075	12899	13438	13820	13989	14269	14380	14603	14270	14102	13626	13483	13208	12658	12519	12102	11702	11195	10800
500000	12978	14086	14650	15529	16104	16265	16517	16706	16515	16577	16316	15956	15501	15108	14841	14495	13992	13344	12980	12491
600000	14755	15728	16658	17319	17911	18239	18546	18490	18644	18506	18154	18007	17478	17442	16210	16021	15646	15076	14770	14044
700000	16167	17510	18416	19130	19541	19875	20154	20341	20272	20139	20023	19508	19179	18664	18203	17656	17114	16775	15821	15395
800000	17910	18846	20026	20823	21181	21675	22022	21989	21873	21699	21576	21212	20689	20168	19800	19232	18494	17899	17395	16732
900000	19126	20313	21321	22324	22981	23225	23538	23706	23514	23192	22785	22729	22346	21601	21246	20525	19880	19483	18645	17919
1000000	20429	21623	22648	23497	24181	24560	25045	24968	24779	24430	24397	23874	23428	22907	22266	21729	21135	20415	19723	18891
2000000	30241	31931	32997	33764	34427	34806	34918	35477	34992	34663	34488	33809	33128	32341	31528	30754	30013	29221	28283	27559
3000000	36640	37927	39363	40633	41046	41188	41557	41254	41564	40997	40382	40014	39416	38413	37892	36731	35773	35239	34022	32890
4000000	41221	43180	43942	45199	45724	45912	45928	45878	45733	45171	44785	44238	43618	42677	41941	41003	40167	39139	38549	37275
5000000	45095	47012	47850	48232	49133	48849	49158	49073	49097	48552	48100	47808	47057	46247	45303	44146	43681	42456	41435	40314
6000000	48569	49251	50257	51127	51829	52018	52043	51686	51635	51238	50658	50323	49384	48377	47736	46978	45953	45179	44086	43305
7000000	50209	51832	52719	53417	53934	54320	54672	53976	53998	53223	52739	52313	51533	50837	50136	49271	48008	47278	46174	45027
8000000	52420	53879	54737	55384	55944	56138	56409	56186	55493	55449	54638	54101	53451	52840	51845	50839	49789	49052	48056	46973
9000000	54338	55829	56381	57139	57277	58128	58037	57543	57157	56940	56624	56051	55011	54182	53663	52866	51698	50615	49903	48508
10000000	55450	57542	58049	58619	58969	59072	59104	58682	59168	58045	57709	57104	56097	55715	54544	54062	52759	52007	50941	50215
20000000	65679	66864	67672	68182	68303	68774	68880	68359	68281	67504	66703	66129	65234	64771	63791	62989	61972	60555	59647	58934
30000000	71056	72588	72690	73105	73415	73506	73674	73197	73306	72707	72489	71438	70739	69643	68865	68007	67287	65981	65132	64069
40000000	74441	75946	76530	76361	76472	77072	76800	76677	76211	76272	75627	75055	73984	73430	72742	71462	70772	70082	68675	67399
50000000	76647	77530	78411	78422	78363	78716	78847	78456	78454	78541	77571	76526	76408	75968	74829	74255	73944	72577	71531	70591
60000000	78413	79281	80205	79761	80107	80267	80010	80103	79993	79294	79349	78528	78369	77454	76959	76213	75615	74561	73416	72765
70000000	79888	80222	80113	80298	80827	80952	80904	81185	80784	80952	80225	80017	79470	78785	78653	77657	77232	76177	75106	73912
80000000	81138	81186	81135	81736	81270	81700	81416	81757	81047	81177	81168	80152	80549	79768	79138	78632	78313	76728	76731	75814
90000000	81173	81487	81618	82095	81833	82008	81695	81727	81660	81583	81313	81180	81069	80619	80139	79536	79236	78656	77146	76829
100000000	82030	81780	81716	82287	81992	82474	82664	82306	81978	82084	82300	81686	81451	80986	80986	80131	80393	79168	78847	77696
200000000	83217	82945	82754	83055	83401	82692	83179	82633	83473	83536	82983	82998	83023	83123	82863	82754	82545	82052	81759	82349
300000000	82789	82665	82729	82446	82898	82905	82385	83503	83279	83222	83165	83143	83092	82712	83424	82814	83031	82750	82940	82798
400000000	83197	83340	83091	83319	82784	83137	83146	83099	83290	83002	82980	83478	83594	83075	83386	82996	83193	82925	82732	82944
500000000	83096	83244	82801	82975	82703	83003	83248	82993	83279	83563	83021	83160	82879	83166	83352	82643	83212	82972	82793	83018
