,Infinitif,Participe présent,Participe passé,Indicatif présent,Impératif,Subjonctif présent,Imparfait,Futur,Conditionnel,Passé simple,Subjonctif imparfait
Infinitif,3955,1862,2397,2029,1485,818,912,966,533,242,9
Participe présent,1862,1875,1461,1518,1220,760,842,886,513,231,9
Participe passé,2397,1461,2053,1539,1233,724,758,849,484,218,8
Indicatif présent,2029,1518,1539,1599,1229,755,818,879,505,225,9
Impératif,1485,1220,1233,1229,1219,689,697,793,467,205,8
Subjonctif présent,818,760,724,755,689,559,522,597,394,169,8
Imparfait,912,842,758,818,697,522,595,583,385,169,8
Futur,966,886,849,879,793,597,583,732,442,195,9
Conditionnel,533,513,484,505,467,394,385,442,343,140,8
Passé simple,242,231,218,225,205,169,169,195,140,87,4
Subjonctif imparfait,9,9,8,9,8,8,8,9,8,4,4
